GeneID	KOG Gene ID	Identity	Align Length	Q start	Q end	T start	T end	E value	Score	KOG ID	Classification flag	Description
Ss07g12510.1	AtCh058	65.152	66	2	54	51	116	2.16E-19	75.9	KOG0901	J	Translation, ribosomal structure and biogenesis
Ss07g12480.1	At3g28230	40.945	127	422	531	49	174	3.28E-14	72.4	KOG3118	B	Chromatin structure and dynamics
Ss07g12470.1	At1g77740	66.474	692	18	679	72	754	0	908	KOG0229	T	Signal transduction mechanisms
Ss07g12490.1	AtCh087	39.2	125	143	245	126	249	1.12E-15	76.6	KOG0438	J	Translation, ribosomal structure and biogenesis
Ss04g04190.1	At1g37060	35.211	213	39	222	426	637	4.27E-22	96.3	KOG0017	R	General function prediction only
Ss04g04200.1	At5g47970	66.304	368	55	422	9	376	0	530	KOG2335	J	Translation, ribosomal structure and biogenesis
Ss04g04150.1	At1g71070	52.994	334	48	381	47	376	9.26E-128	374	KOG0799	G	Carbohydrate transport and metabolism
Ss04g04160.1	At3g20650	49.689	161	45	176	67	222	7.28E-45	153	KOG1975	A	RNA processing and modification
Ss04g04120.1	At4g35130	32.373	590	49	636	98	678	3.35E-112	356	KOG4197	R	General function prediction only
Ss04g04130.1	At3g59980	53.414	249	13	244	25	273	1.44E-85	256	KOG2241	J	Translation, ribosomal structure and biogenesis
Ss04g04140.1	At3g32110	41.111	90	1	90	1322	1410	4.32E-14	67.4	KOG1075	R	General function prediction only
Ss03g12880.1	At3g09030	46.362	481	9	471	6	459	1.75E-139	410	KOG2714	R	General function prediction only
Ss03g12860.1	At2g29690	76.093	389	313	701	219	607	0	615	KOG1223	E	Amino acid transport and metabolism
Ss03g12850.1	At3g09010	67.208	308	36	342	18	325	2.07E-158	452	KOG1187	T	Signal transduction mechanisms
Ss03g12840.1	At3g19260	57.895	285	1	284	17	295	4.61E-120	347	KOG1607	U	Intracellular trafficking, secretion, and vesicular transport
Ss03g12830.1	At1g05150	65.542	830	8	834	2	803	0	1097	KOG1124	R	General function prediction only
Ss03g12820.1	At1g45976	46.933	326	39	338	19	325	2.13E-86	264	KOG1100	O	Posttranslational modification, protein turnover, chaperones
Ss03g12800.1	At3g59530	64.878	410	1	408	1	399	0	557	KOG1520	R	General function prediction only
Ss03g12790.1	At2g32600	67.219	302	1	302	1	269	2.92E-116	338	KOG0227	A	RNA processing and modification
Ss04g09320.1	At1g53050	49.574	704	1	674	1	664	0	632	KOG0600	D	Cell cycle control, cell division, chromosome partitioning
Ss04g09300.1	Hs7706645	44.88	332	41	327	41	372	1.04E-94	288	KOG2564	R	General function prediction only
Ss04g09290.1	At5g49890	75.834	749	100	845	31	778	0	1123	KOG0474	P	Inorganic ion transport and metabolism
Ss04g09280.1	At2g41310	50.746	134	11	137	11	141	1.25E-36	129	KOG1601	K	Transcription
Ss01g08420.1	Hs6912544	29.05	179	184	362	333	503	9.98E-23	101	KOG2196	Y	Nuclear structure
Ss01g08370.1	At5g01270	63.478	460	26	483	10	464	0	590	KOG0323	K	Transcription
Ss01g08350.1	At3g06190	34.821	336	2	322	12	340	1.12E-59	198	KOG1987	RD	General function prediction only; Cell cycle control, cell division, chromosome partitioning
Ss04g09350.1	At1g76690	67.76	366	2	367	9	374	0	529	KOG0134	CR	Energy production and conversion; General function prediction only
Ss09g03090.1	At4g12640	41.346	520	154	660	5	494	1.13E-99	331	KOG0118	R	General function prediction only
Ss09g03080.1	7290149	45.238	42	7	48	205	245	5.74E-06	43.1	KOG0118	R	General function prediction only
Ss09g03040.1	AtCh079	52.586	116	1	80	11	126	1.18E-27	108	KOG2870	C	Energy production and conversion
Ss10g12620.1	At3g23310	70.803	548	1	537	1	542	0	783	KOG0605	R	General function prediction only
Ss10g12610.1	At1g03900_1	62.671	292	9	278	11	290	4.95E-104	306	KOG2500	S	Function unknown
Ss10g12640.1	At4g14340	69.556	473	1	468	7	457	0	649	KOG1164	T	Signal transduction mechanisms
Ss10g12580.1	At1g71220	62.395	1662	35	1627	28	1668	0	2090	KOG1879	G	Carbohydrate transport and metabolism
Ss09g03120.1	At5g48300	88.223	467	37	503	54	520	0	848	KOG1322	M	Cell wall/membrane/envelope biogenesis
Ss02g23260.1	At2g06210	58.675	1147	1	1082	1	1103	0	1293	KOG2002	P	Inorganic ion transport and metabolism
Ss02g23250.1	At5g42570	53.153	222	27	247	1	216	8.34E-76	231	KOG1962	V	Defense mechanisms
Ss02g23230.1	At3g60800	69.608	306	8	313	1	273	2.93E-142	403	KOG1315	R	General function prediction only
Ss06g05060.1	At5g20400	43.642	346	7	348	9	348	8.28E-96	290	KOG0143	QR	Secondary metabolites biosynthesis, transport and catabolism; General function prediction only
Ss06g05050.1	At5g20400	44.795	317	37	349	37	344	2.96E-89	273	KOG0143	QR	Secondary metabolites biosynthesis, transport and catabolism; General function prediction only
Ss06g05030.1	At4g11690	47.778	90	1	90	224	313	2.52E-23	93.6	KOG4197	R	General function prediction only
Ss06g05020.1	At4g32120	64.972	354	1	353	1	345	8.41E-172	483	KOG2288	G	Carbohydrate transport and metabolism
Ss06g05000.1	At1g15810	46.547	333	99	422	97	418	2.12E-85	269	KOG2815	J	Translation, ribosomal structure and biogenesis
Ss06g05080.1	At5g20400	44.295	149	156	282	194	340	2.50E-34	129	KOG0143	QR	Secondary metabolites biosynthesis, transport and catabolism; General function prediction only
Ss06g05070.1	At5g20400	48.315	356	1	349	1	348	1.69E-109	324	KOG0143	QR	Secondary metabolites biosynthesis, transport and catabolism; General function prediction only
Ss09g12280.1	AtCh082	64.122	131	1	112	25	155	2.79E-52	162	KOG3291	J	Translation, ribosomal structure and biogenesis
Ss09g12250.1	At1g24260	62.353	255	1	246	1	245	7.01E-95	280	KOG0014	K	Transcription
Ss09g12320.1	At1g67370	56.373	612	1	604	16	610	0	629	KOG4652	B	Chromatin structure and dynamics
Ss09g12290.1	AtCh083	56.072	387	106	376	1	387	3.38E-122	359	KOG4668	C	Energy production and conversion
Ss09g12340.1	At5g37350_1	67.123	438	62	490	39	459	0	594	KOG2270	TD	Signal transduction mechanisms; Cell cycle control, cell division, chromosome partitioning
Ss07g26180.1	At3g53970	42.038	314	1	297	1	301	1.14E-62	201	KOG4761	O	Posttranslational modification, protein turnover, chaperones
Ss01g33060.1	At5g03260	51.748	143	9	148	386	521	3.91E-42	148	KOG1263	Q	Secondary metabolites biosynthesis, transport and catabolism
Ss05g11240.1	At5g49820	73.869	398	110	504	11	404	0	585	KOG4249	S	Function unknown
Ss05g11250.1	At4g09960	60.944	233	85	316	1	230	4.70E-96	285	KOG0014	K	Transcription
Ss05g11220.1	At5g38520	65.744	289	44	324	41	328	5.56E-124	362	KOG1454	R	General function prediction only
Ss05g11230.1	At3g42790	64.453	256	1	256	1	250	1.62E-110	320	KOG1632	R	General function prediction only
Ss05g11310.1	At3g55260	52.043	563	1	522	1	557	0	561	KOG2499	G	Carbohydrate transport and metabolism
Ss02g01330.1	At3g01120	71.429	133	95	226	167	299	3.14E-57	191	KOG0053	E	Amino acid transport and metabolism
Ss07g20980.1	At5g63440_2	94.737	114	119	232	1	114	2.42E-74	222	KOG3276	S	Function unknown
Ss07g20990.1	At1g24310	57.538	398	1	397	1	376	3.21E-151	434	KOG3091	YU	Nuclear structure; Intracellular trafficking, secretion, and vesicular transport
Ss07g21010.1	At5g25120	46.356	494	18	503	1	491	7.61E-161	467	KOG0156	Q	Secondary metabolites biosynthesis, transport and catabolism
Ss07g21040.1	At1g61000_1	35.104	433	1	423	1	412	1.69E-68	229	KOG4438	D	Cell cycle control, cell division, chromosome partitioning
Ss07g21030.1	At5g48660	64.651	215	1	215	1	215	6.89E-82	244	KOG1962	V	Defense mechanisms
Ss03g00190.1	At5g45620	74.303	323	2	324	3	325	0	512	KOG2908	O	Posttranslational modification, protein turnover, chaperones
Ss03g00100.1	At5g63610	74.138	464	19	472	18	470	0	676	KOG0666	K	Transcription
Ss08g00990.1	At3g51880	62.5	104	19	122	45	146	3.20E-38	129	KOG0381	R	General function prediction only
Ss08g01000.1	At3g51550	64.732	896	13	887	20	895	0	1125	KOG1187	T	Signal transduction mechanisms
Ss08g01020.1	At1g20670	50	344	83	422	151	476	2.33E-90	295	KOG0955	R	General function prediction only
Ss09g06320.1	At4g22670_2	69.663	178	23	200	1	178	1.26E-83	255	KOG1308	TO	Signal transduction mechanisms; Posttranslational modification, protein turnover, chaperones
Ss09g06380.1	At1g71010	48.054	1619	87	1640	95	1604	0	1344	KOG0230	T	Signal transduction mechanisms
Ss09g06360.1	At2g01650	42.316	475	2	421	4	465	1.83E-108	329	KOG2699	O	Posttranslational modification, protein turnover, chaperones
Ss09g06410.1	At5g38450	57.418	519	4	519	2	516	0	587	KOG0157	QI	Secondary metabolites biosynthesis, transport and catabolism; Lipid transport and metabolism
Ss07g08260.1	At1g34430	68.817	465	9	457	5	465	0	572	KOG0557	C	Energy production and conversion
Ss07g08200.1	At4g03500	30.833	120	18	129	477	595	1.72E-09	58.2	KOG0504	R	General function prediction only
Ss07g08190.1	At3g44530	78.571	70	19	88	892	959	3.03E-27	104	KOG0973	KD	Transcription; Cell cycle control, cell division, chromosome partitioning
Ss03g05410.1	At2g32830	72.243	526	1	520	1	526	0	790	KOG0252	P	Inorganic ion transport and metabolism
Ss03g05420.1	At1g69340	76.021	563	18	572	8	561	0	872	KOG2633	KB	Transcription; Chromatin structure and dynamics
Ss03g05430.1	At5g04240_1	44.681	658	13	598	6	624	4.54E-168	541	KOG1246	R	General function prediction only
Ss03g05440.1	At2g39020	54.68	203	12	209	29	228	2.08E-72	221	KOG3216	E	Amino acid transport and metabolism
Ss03g05460.1	At5g03340	91.397	802	14	809	44	843	0	1497	KOG0730	O	Posttranslational modification, protein turnover, chaperones
Ss03g05470.1	At3g54840	78.061	196	1	194	1	196	1.52E-112	321	KOG0092	U	Intracellular trafficking, secretion, and vesicular transport
Ss03g05480.1	At5g03380	33.067	375	20	337	22	392	5.10E-41	149	KOG1603	P	Inorganic ion transport and metabolism
Ss03g05490.1	At5g03410_2	70.954	241	105	317	1	236	1.88E-117	345	KOG2829	K	Transcription
Ss05g00600.1	At2g25940	63.368	475	4	470	5	478	0	619	KOG1348	O	Posttranslational modification, protein turnover, chaperones
Ss05g00670.1	At3g54280	61.194	2077	3	2057	4	2049	0	2436	KOG0392	K	Transcription
Ss05g00650.1	At1g72710	71.702	470	1	466	1	465	0	669	KOG1164	T	Signal transduction mechanisms
Ss04g21230.1	At4g30210	70.977	665	27	691	52	711	0	954	KOG1158	C	Energy production and conversion
Ss04g21180.1	At2g24500	47.682	151	80	229	173	321	4.14E-42	149	KOG2785	R	General function prediction only
Ss04g21190.1	At2g18890	56.989	372	1	357	1	372	5.09E-152	436	KOG1187	T	Signal transduction mechanisms
Ss04g21170.1	At1g22920	80.112	357	5	358	4	355	0	561	KOG1554	TO	Signal transduction mechanisms; Posttranslational modification, protein turnover, chaperones
Ss04g21200.1	AtCh082	66.667	36	20	55	5	40	6.35E-10	52.4	KOG3291	J	Translation, ribosomal structure and biogenesis
Ss04g21210.1	At1g52540	60.339	295	20	304	21	313	6.48E-127	368	KOG1187	T	Signal transduction mechanisms
Ss06g12560.1	At3g27740	71.883	409	39	446	24	425	0	628	KOG0370	R	General function prediction only
Ss06g12520.1	At1g67530	32.201	736	66	772	18	718	1.15E-97	323	KOG0167	S	Function unknown
Ss06g12540.1	At1g26190	70.896	670	1	648	1	667	0	942	KOG4203	ZT	Cytoskeleton; Signal transduction mechanisms
Ss03g29680.1	At1g21980	66.476	701	22	687	71	752	0	939	KOG0229	T	Signal transduction mechanisms
Ss03g29670.1	At4g08180	69.203	841	1	801	1	830	0	1121	KOG1737	I	Lipid transport and metabolism
Ss03g29640.1	At2g17900	52.331	472	7	476	4	442	6.13E-173	495	KOG2084	B	Chromatin structure and dynamics
Ss03g29650.1	At1g77720	59.252	508	272	745	175	678	0	589	KOG0596	D	Cell cycle control, cell division, chromosome partitioning
Ss03g29590.1	At4g08500	45.44	614	23	599	11	591	1.21E-144	433	KOG0198	T	Signal transduction mechanisms
Ss03g29620.1	At5g14320	54.444	180	6	155	4	182	9.09E-59	183	KOG3311	J	Translation, ribosomal structure and biogenesis
Ss03g29610.1	At1g71940	67.159	271	6	276	9	272	1.88E-130	372	KOG3140	S	Function unknown
Ss10g03000.1	At1g59960	52.795	322	9	325	6	325	1.07E-124	361	KOG1577	R	General function prediction only
Ss10g03010.1	At5g41980	35.849	371	40	397	23	373	1.51E-73	235	KOG4585	L	Replication, recombination and repair
Ss10g02980.1	At2g01970	84.283	579	14	590	14	592	0	1008	KOG1277	U	Intracellular trafficking, secretion, and vesicular transport
Ss10g02990.1	At1g59960	56.026	307	15	320	20	326	1.85E-132	381	KOG1577	R	General function prediction only
Ss05g22600.1	At1g72050	38.333	420	12	371	15	406	4.64E-77	245	KOG1721	R	General function prediction only
Ss05g22640.1	At3g45830	45.644	769	488	1188	464	1193	9.55E-179	566	KOG1927	K	Transcription
Ss05g22650.1	At5g59560	35.922	103	62	150	155	257	1.97E-08	53.1	KOG3131	S	Function unknown
Ss10g02920.1	At3g07130	49.123	513	19	464	23	527	7.05E-159	462	KOG1378	G	Carbohydrate transport and metabolism
Ss07g05290.1	At5g66680	72.437	439	7	440	13	442	0	654	KOG2754	O	Posttranslational modification, protein turnover, chaperones
Ss07g05300.1	At4g36790	63.655	476	9	483	23	488	0	603	KOG1330	G	Carbohydrate transport and metabolism
Ss07g05340.1	At5g19280_2	57.597	283	290	570	1	283	8.34E-112	336	KOG0698	T	Signal transduction mechanisms
Ss07g05320.1	At1g61810	50.522	479	29	503	38	516	1.70E-179	515	KOG0626	G	Carbohydrate transport and metabolism
Ss02g14910.1	At1g80500	88	75	1	75	1	75	4.04E-43	138	KOG3487	U	Intracellular trafficking, secretion, and vesicular transport
Ss02g14900.1	At2g04420	33.333	75	2	76	61	131	7.43E-07	46.2	KOG1075	R	General function prediction only
Ss02g14830.1	At4g34110	63.566	645	5	647	17	629	0	802	KOG0123	AJ	RNA processing and modification; Translation, ribosomal structure and biogenesis
Ss02g14820.1	At4g09810	76.647	334	1	334	1	334	0	536	KOG1441	EG	Amino acid transport and metabolism; Carbohydrate transport and metabolism
Ss02g14890.1	At1g80050	75.568	176	36	211	11	186	2.01E-94	275	KOG1712	F	Nucleotide transport and metabolism
Ss02g14880.1	CE04263	32.573	307	35	339	13	307	1.83E-39	143	KOG1444	UOG	Intracellular trafficking, secretion, and vesicular transport; Posttranslational modification, protein turnover, chaperones; Carbohydrate transport and metabolism
Ss03g19830.1	At4g01280	71.053	38	85	122	216	253	7.11E-14	67.4	KOG0724	O	Posttranslational modification, protein turnover, chaperones
Ss03g19840.1	At2g46920	50.536	932	1	921	1	807	0	818	KOG0700	T	Signal transduction mechanisms
Ss03g19820.1	At1g57560	77.273	132	1	132	1	132	8.46E-76	236	KOG0048	K	Transcription
Ss07g21370.1	At5g59440	66.341	205	32	236	19	222	1.13E-98	288	KOG3327	F	Nucleotide transport and metabolism
Ss07g21380.1	At3g12260	57.895	76	19	94	59	133	3.52E-27	97.8	KOG3426	C	Energy production and conversion
Ss03g19780.1	At3g06680	65.455	55	1	55	1	55	4.99E-19	73.9	KOG3504	J	Translation, ribosomal structure and biogenesis
Ss03g19790.1	At2g46950	51.503	499	18	515	20	517	0	551	KOG0157	QI	Secondary metabolites biosynthesis, transport and catabolism; Lipid transport and metabolism
Ss04g11030.1	At3g21670	61.318	592	1	582	1	586	0	712	KOG1237	E	Amino acid transport and metabolism
Ss04g11040.1	At4g04210	57.895	323	6	315	2	308	6.11E-111	325	KOG2086	Y	Nuclear structure
Ss04g11010.1	At3g48170	56.357	527	7	453	5	503	0	558	KOG2450	C	Energy production and conversion
Ss04g11020.1	At2g46850	37.981	624	18	622	32	630	1.54E-121	375	KOG1187	T	Signal transduction mechanisms
Ss04g11050.1	At2g19570	34.286	245	17	236	1	237	1.64E-27	108	KOG0833	F	Nucleotide transport and metabolism
Ss03g19860.1	At3g49990	40.562	498	11	479	13	498	5.22E-84	269	KOG2637	S	Function unknown
Ss06g18330.1	At4g20170	50.99	404	101	498	101	497	1.82E-140	415	KOG4735	S	Function unknown
Ss06g18370.1	At5g42390	68.664	1235	21	1239	45	1265	0	1685	KOG0959	O	Posttranslational modification, protein turnover, chaperones
Ss08g06500.1	At3g19270	63.715	463	6	467	13	461	0	630	KOG0157	QI	Secondary metabolites biosynthesis, transport and catabolism; Lipid transport and metabolism
Ss08g06510.1	At1g49710	62.083	480	15	492	37	513	0	620	KOG2619	EG	Amino acid transport and metabolism; Carbohydrate transport and metabolism
Ss08g06540.1	At1g53280	45.274	402	42	440	37	430	1.34E-109	332	KOG2764	RV	General function prediction only; Defense mechanisms
Ss08g06550.1	At2g16680	27.835	194	61	237	931	1124	2.01E-08	56.2	KOG1075	R	General function prediction only
Ss08g06580.1	AtMi093	80.247	81	44	124	241	321	2.46E-35	125	KOG4770	C	Energy production and conversion
Ss03g15240.1	AtCh073	77.228	101	2	102	54	153	2.75E-49	164	KOG4845	C	Energy production and conversion
Ss03g15200.1	At2g30260	65.975	241	1	235	1	232	2.23E-110	318	KOG4206	A	RNA processing and modification
Ss03g15210.1	At3g51680	60.568	317	19	329	1	303	2.06E-117	342	KOG0725	R	General function prediction only
Ss03g15170.1	At4g29040	91.778	450	1	450	1	443	0	822	KOG0726	O	Posttranslational modification, protein turnover, chaperones
Ss10g02830.1	At2g17910	45.588	136	1	136	780	915	1.21E-37	136	KOG1075	R	General function prediction only
Ss03g40020.1	At5g59470	61.925	239	60	294	1	239	1.07E-108	316	KOG3211	R	General function prediction only
Ss03g39990.1	At1g37060	34.434	212	40	217	427	632	6.66E-21	92	KOG0017	R	General function prediction only
Ss03g40010.1	At5g57020	70.345	290	126	408	81	370	1.24E-147	424	KOG2779	I	Lipid transport and metabolism
Ss03g40000.1	At3g22660	64.469	273	58	321	22	293	6.67E-112	327	KOG3080	A	RNA processing and modification
Ss03g40070.1	At5g41210	65.417	240	1	238	1	240	5.79E-112	323	KOG0867	O	Posttranslational modification, protein turnover, chaperones
Ss01g09040.1	At1g17440	58.192	177	364	528	484	660	3.44E-54	196	KOG1142	K	Transcription
Ss01g09020.1	At2g39770	87.258	361	1	361	1	361	0	658	KOG1322	M	Cell wall/membrane/envelope biogenesis
Ss01g09000.1	At2g37790	65.889	343	5	310	8	350	1.59E-161	455	KOG1577	R	General function prediction only
Ss01g08980.1	AtCh008	65.823	79	10	88	343	420	1.58E-24	98.2	KOG1353	C	Energy production and conversion
Ss01g08970.1	At2g37770	65.141	284	3	276	6	289	2.43E-137	391	KOG1577	R	General function prediction only
Ss01g08960.1	At3g53880	50.923	271	13	242	47	315	2.42E-88	265	KOG1577	R	General function prediction only
Ss01g08950.1	At3g05280	41.393	244	5	230	6	244	4.25E-53	175	KOG3114	S	Function unknown
Ss07g05630.1	At1g22570	47.959	98	18	115	18	103	1.48E-20	88.2	KOG1237	E	Amino acid transport and metabolism
Ss01g41680.1	At3g02600	59.857	279	1	255	1	278	6.31E-120	347	KOG3030	I	Lipid transport and metabolism
Ss03g18650.1	At4g04880	56.186	388	8	364	2	380	1.45E-148	427	KOG1097	F	Nucleotide transport and metabolism
Ss03g18630.1	At4g23460	84.684	901	1	897	1	892	0	1535	KOG1061	U	Intracellular trafficking, secretion, and vesicular transport
Ss01g41640.1	At3g49910	80.851	141	1	139	1	141	5.41E-79	232	KOG3401	J	Translation, ribosomal structure and biogenesis
Ss01g41650.1	At1g25570	52.034	590	28	616	27	558	0	574	KOG0619	R	General function prediction only
Ss01g41660.1	At1g25510	57.388	467	26	491	29	483	0	524	KOG1339	O	Posttranslational modification, protein turnover, chaperones
Ss07g05600.1	At3g53020	83.221	149	1	149	1	148	1.84E-77	229	KOG1722	J	Translation, ribosomal structure and biogenesis
Ss01g41720.1	At1g66910	38.792	629	49	637	26	634	1.86E-128	395	KOG1187	T	Signal transduction mechanisms
Ss03g18690.1	At3g44640	39.216	204	25	208	172	373	4.91E-41	144	KOG4585	L	Replication, recombination and repair
Ss09g16560.1	At2g36480	45.707	396	71	440	88	465	8.20E-83	292	KOG2071	A	RNA processing and modification
Ss09g16550.1	At1g08250	73.214	392	47	432	28	402	0	555	KOG2797	E	Amino acid transport and metabolism
Ss09g16500.1	At2g28360	45.818	550	147	591	100	635	7.89E-142	434	KOG2073	D	Cell cycle control, cell division, chromosome partitioning
Ss09g16480.1	At5g40810	84.385	301	7	306	7	307	1.07E-175	489	KOG3052	C	Energy production and conversion
Ss09g16540.1	At3g52940	51.955	179	17	195	4	176	1.62E-47	164	KOG1435	IT	Lipid transport and metabolism; Signal transduction mechanisms
Ss09g16520.1	At5g40480	45.064	1955	31	1954	26	1918	0	1672	KOG1833	YU	Nuclear structure; Intracellular trafficking, secretion, and vesicular transport
Ss02g03280.1	At1g80030	75.35	357	55	410	60	416	0	565	KOG0715	O	Posttranslational modification, protein turnover, chaperones
Ss03g26900.1	At3g22980	60.794	1033	18	1035	7	1015	0	1245	KOG0467	J	Translation, ribosomal structure and biogenesis
Ss02g03230.1	At1g52540	49.841	315	47	349	24	319	1.12E-103	310	KOG1187	T	Signal transduction mechanisms
Ss02g03200.1	At4g34050	83.898	236	17	252	23	258	2.05E-156	436	KOG1663	Q	Secondary metabolites biosynthesis, transport and catabolism
Ss02g03210.1	At5g67140	55.122	205	12	213	8	212	5.44E-75	227	KOG1947	R	General function prediction only
Ss02g03260.1	At5g40250	48.562	313	38	299	40	339	1.17E-83	258	KOG0800	O	Posttranslational modification, protein turnover, chaperones
Ss02g03270.1	At1g07360	51.295	386	1	311	1	382	3.14E-123	364	KOG0153	R	General function prediction only
Ss02g03240.1	At1g80070	93.511	2327	76	2379	59	2382	0	4548	KOG1795	A	RNA processing and modification
Ss02g03250.1	At1g60070	67.31	881	17	876	1	867	0	1207	KOG1062	U	Intracellular trafficking, secretion, and vesicular transport
Ss01g20490.1	At1g60550	67.021	376	5	335	9	378	1.89E-174	490	KOG1680	I	Lipid transport and metabolism
Ss07g26920.1	At1g03590	58.255	424	43	432	33	443	7.59E-169	483	KOG0698	T	Signal transduction mechanisms
Ss03g26940.1	At4g32910	48.529	68	45	99	694	761	4.36E-13	66.6	KOG2271	YU	Nuclear structure; Intracellular trafficking, secretion, and vesicular transport
Ss01g43010.1	At3g18170	42.188	384	189	560	145	519	1.52E-98	310	KOG4698	S	Function unknown
Ss01g43020.1	At1g15110	79.793	386	1	384	1	384	0	647	KOG2735	I	Lipid transport and metabolism
Ss01g43030.1	At1g48650	71.698	1113	125	1233	62	1161	0	1629	KOG0920	A	RNA processing and modification
Ss01g43040.1	At2g01140	81.122	392	1	389	1	391	0	647	KOG1557	G	Carbohydrate transport and metabolism
Ss01g43100.1	At1g67000	42.89	436	201	618	259	685	4.81E-105	335	KOG1187	T	Signal transduction mechanisms
Ss02g22890.1	At2g06890	56.25	64	36	99	1024	1087	1.05E-18	84.7	KOG0017	R	General function prediction only
Ss01g37090.1	At1g24640	41.209	182	1	181	771	952	1.10E-40	147	KOG1075	R	General function prediction only
Ss01g37110.1	At2g34500	63.36	494	14	507	9	492	0	658	KOG0157	QI	Secondary metabolites biosynthesis, transport and catabolism; Lipid transport and metabolism
Ss01g37130.1	At5g46240	69.263	475	3	477	24	498	0	710	KOG0498	PT	Inorganic ion transport and metabolism; Signal transduction mechanisms
Ss01g37140.1	At2g20540	49.614	518	7	524	5	515	0	554	KOG4197	R	General function prediction only
Ss01g02590.1	At5g22750	25	616	685	1260	491	1020	1.68E-39	161	KOG1001	KL	Transcription ; Replication, recombination and repair
Ss01g02550.1	At2g41310	70.345	145	3	146	2	146	3.25E-70	215	KOG1601	K	Transcription
Ss01g02540.1	7302519	27.224	562	67	568	12	532	4.45E-32	135	KOG2024	G	Carbohydrate transport and metabolism
Ss05g08950.1	At3g46460	84.146	164	6	169	3	166	1.72E-97	280	KOG0425	O	Posttranslational modification, protein turnover, chaperones
Ss05g08960.1	At1g16480	50.621	885	5	889	24	905	0	934	KOG4197	R	General function prediction only
Ss05g08970.1	At3g54810	54.167	48	163	210	230	275	9.60E-10	59.3	KOG1601	K	Transcription
Ss05g08900.1	At3g45980	81.333	150	1	144	1	150	2.93E-75	222	KOG1744	B	Chromatin structure and dynamics
Ss05g08920.1	At5g59770	42.991	107	44	150	66	170	1.28E-17	77.8	KOG3187	R	General function prediction only
Ss05g08930.1	At5g09770	83.784	37	1	37	1	37	3.48E-14	64.7	KOG3280	J	Translation, ribosomal structure and biogenesis
Ss06g21450.1	At1g05200	60.023	883	26	906	46	920	0	1115	KOG1052	PET	Inorganic ion transport and metabolism; Amino acid transport and metabolism; Signal transduction mechanisms
Ss05g08980.1	At2g18820	36.879	141	5	145	1022	1161	6.22E-27	106	KOG1075	R	General function prediction only
Ss05g08990.1	At3g25480	28.302	106	2	88	94	199	7.09E-07	48.1	KOG1075	R	General function prediction only
Ss06g21410.1	At1g11600	58.382	519	1	516	1	509	0	637	KOG0156	Q	Secondary metabolites biosynthesis, transport and catabolism
Ss01g15290.1	At5g25830	48.451	355	28	369	14	331	8.47E-81	251	KOG1601	K	Transcription
Ss01g15270.1	At2g24840	39.394	165	17	176	3	164	1.41E-32	117	KOG0014	K	Transcription
Ss02g18040.1	At5g57450	42.105	304	16	284	6	304	1.40E-74	231	KOG1564	L	Replication, recombination and repair
Ss01g15350.1	At3g13670	77.796	599	72	665	106	703	0	1007	KOG1164	T	Signal transduction mechanisms
Ss03g28830.1	At5g15050	58.508	429	9	421	16	434	0	520	KOG0799	G	Carbohydrate transport and metabolism
Ss03g28860.1	At1g74800	58.929	560	47	591	86	642	0	680	KOG2287	G	Carbohydrate transport and metabolism
Ss11g12380.1	At5g24470	50.685	219	31	232	15	230	4.16E-59	211	KOG1601	K	Transcription
Ss11g12310.1	At2g15900	48.5	1000	76	1016	2	942	0	818	KOG2101	ZUD	Cytoskeleton; Intracellular trafficking, secretion, and vesicular transport; Cell cycle control, cell division, chromosome partitioning
Ss11g12340.1	At2g35940	40.03	677	1	571	1	602	3.53E-107	339	KOG0773	K	Transcription
Ss08g11120.1	At5g16180	45.143	700	14	708	84	716	0	537	KOG1990	L	Replication, recombination and repair
Ss08g11050.1	At5g35170	65.116	516	112	620	1	498	0	715	KOG3078	F	Nucleotide transport and metabolism
Ss08g11080.1	At4g07850	52.222	90	13	102	325	414	2.24E-27	105	KOG0017	R	General function prediction only
Ss07g00100.1	At5g01220	68.349	436	52	487	72	463	0	599	KOG1111	IMO	Lipid transport and metabolism; Cell wall/membrane/envelope biogenesis; Posttranslational modification, protein turnover, chaperones
Ss07g00130.1	At2g39890	69.378	418	72	489	26	442	0	621	KOG1303	E	Amino acid transport and metabolism
Ss07g00140.1	At5g52810	48.739	119	1	119	194	312	7.12E-33	118	KOG3007	E	Amino acid transport and metabolism
Ss07g00170.1	At3g09220	55.062	563	9	564	11	550	0	621	KOG1263	Q	Secondary metabolites biosynthesis, transport and catabolism
Ss11g16600.1	At5g58560	56.017	241	1	241	67	307	1.16E-96	287	KOG4453	S	Function unknown
Ss11g16620.1	At1g25260	58.874	231	1	231	1	226	2.04E-96	282	KOG0816	A	RNA processing and modification
Ss11g16630.1	At1g76640	51.852	135	7	141	25	158	1.49E-40	134	KOG0027	T	Signal transduction mechanisms
Ss11g16560.1	At5g05510	60.494	162	1	162	1	162	3.61E-64	219	KOG1166	D	Cell cycle control, cell division, chromosome partitioning
Ss11g16570.1	At5g05520	49.16	476	49	522	55	522	5.51E-167	484	KOG2602	R	General function prediction only
Ss08g17360.1	At3g06190	43.251	363	2	351	18	370	4.08E-90	279	KOG1987	RD	General function prediction only; Cell cycle control, cell division, chromosome partitioning
Ss01g23490.1	At3g18180	36.483	381	180	552	91	458	1.51E-81	264	KOG4698	S	Function unknown
