GeneId	BiologicalProcess	CellularComponent	MolecularFunction
Ss08g02770.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003677(DNA binding)
Ss08g02820.1	-	-	GO:0003676(nucleic acid binding),GO:0005524(ATP binding)
Ss09g05700.1	-	-	GO:0016758(transferase activity, transferring hexosyl groups)
Ss07g00400.1	GO:0009245(lipid A biosynthetic process)	-	GO:0005524(ATP binding),GO:0009029(tetraacyldisaccharide 4'-kinase activity)
Ss11g14870.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003677(DNA binding),GO:0003700(DNA-binding transcription factor activity)
Ss11g14860.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003700(DNA-binding transcription factor activity)
Ss08g04440.1	-	-	GO:0046983(protein dimerization activity)
Ss10g04690.1	-	-	GO:0005515(protein binding)
Ss02g10180.1	GO:0055085(transmembrane transport)	-	-
Ss07g30250.1	GO:0009073(aromatic amino acid family biosynthetic process)	-	GO:0003824(catalytic activity),GO:0003849(3-deoxy-7-phosphoheptulonate synthase activity)
Ss11g11640.1	GO:0006811(ion transport),GO:0055085(transmembrane transport)	GO:0016020(membrane)	GO:0005216(ion channel activity)
Ss10g05690.1	GO:0030001(metal ion transport)	GO:0016020(membrane)	GO:0046873(metal ion transmembrane transporter activity)
Ss11g14810.1	-	-	GO:0043531(ADP binding)
Ss11g11610.1	-	GO:0016020(membrane)	GO:0005524(ATP binding),GO:0016887(ATPase activity)
Ss11g11680.1	GO:0006812(cation transport),GO:0055085(transmembrane transport)	GO:0016021(integral component of membrane)	GO:0008324(cation transmembrane transporter activity)
Ss11g14820.1	GO:0006886(intracellular protein transport)	-	-
Ss11g11660.1	GO:0009767(photosynthetic electron transport chain)	GO:0016020(membrane),GO:0042651(thylakoid membrane)	GO:0009055(electron transfer activity),GO:0016491(oxidoreductase activity),GO:0045156(electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity)
Ss11g11650.1	GO:0006351(transcription, DNA-templated)	-	GO:0003677(DNA binding),GO:0003899(DNA-directed 5'-3' RNA polymerase activity)
Ss01g06430.1	GO:0006468(protein phosphorylation),GO:0048544(recognition of pollen)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding),GO:0004674(protein serine/threonine kinase activity)
Ss01g06440.1	GO:0048544(recognition of pollen),GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding),GO:0004674(protein serine/threonine kinase activity)
Ss02g02030.1	-	-	GO:0003676(nucleic acid binding)
Ss01g06390.1	GO:0005975(carbohydrate metabolic process)	-	GO:0004650(polygalacturonase activity)
Ss07g29480.1	GO:0006400(tRNA modification)	-	GO:0016763(transferase activity, transferring pentosyl groups)
Ss07g05430.1	-	-	GO:0003824(catalytic activity),GO:0050662(coenzyme binding)
Ss01g06410.1	GO:0048544(recognition of pollen),GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding),GO:0008270(zinc ion binding),GO:0004674(protein serine/threonine kinase activity)
Ss03g11050.1	-	-	GO:0046982(protein heterodimerization activity)
Ss01g42460.1	-	GO:0005576(extracellular region)	GO:0004867(serine-type endopeptidase inhibitor activity)
Ss07g33180.1	-	-	GO:0005515(protein binding)
Ss07g33170.1	-	-	GO:0005515(protein binding)
Ss07g33160.1	GO:0006468(protein phosphorylation)	-	GO:0005515(protein binding),GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss03g16940.1	-	-	GO:0016787(hydrolase activity)
Ss07g33120.1	GO:0000272(polysaccharide catabolic process)	-	GO:0016161(beta-amylase activity)
Ss07g33110.1	-	-	GO:0005515(protein binding)
Ss07g33100.1	GO:0006814(sodium ion transport),GO:0006885(regulation of pH),GO:0055085(transmembrane transport),GO:0006812(cation transport)	GO:0016021(integral component of membrane)	GO:0015385(sodium:proton antiporter activity),GO:0015299(solute:proton antiporter activity)
Ss10g13100.1	GO:0006231(dTMP biosynthetic process)	-	GO:0004799(thymidylate synthase activity)
Ss02g34780.1	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome),GO:0003723(RNA binding)
Ss08g14780.1	-	-	GO:0003676(nucleic acid binding)
Ss02g34760.1	-	-	GO:0005515(protein binding)
Ss02g02050.1	GO:0000160(phosphorelay signal transduction system),GO:0007165(signal transduction),GO:0009723(response to ethylene)	GO:0005789(endoplasmic reticulum membrane)	GO:0005515(protein binding),GO:0000155(phosphorelay sensor kinase activity),GO:0004672(protein kinase activity),GO:0038199(ethylene receptor activity),GO:0051740(ethylene binding)
Ss08g14720.1	-	-	GO:0030145(manganese ion binding),GO:0045735(nutrient reservoir activity)
Ss08g14710.1	-	-	GO:0030145(manganese ion binding),GO:0045735(nutrient reservoir activity)
Ss08g14760.1	GO:0006139(nucleobase-containing compound metabolic process)	GO:0005634(nucleus)	GO:0003676(nucleic acid binding),GO:0008270(zinc ion binding),GO:0004534(5'-3' exoribonuclease activity),GO:0004527(exonuclease activity)
Ss08g14770.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003677(DNA binding),GO:0043565(sequence-specific DNA binding),GO:0008289(lipid binding)
Ss08g14740.1	-	-	GO:0045735(nutrient reservoir activity)
Ss02g34800.1	-	-	GO:0004792(thiosulfate sulfurtransferase activity)
Ss04g19410.1	GO:0006468(protein phosphorylation)	-	GO:0005524(ATP binding),GO:0004672(protein kinase activity),GO:0005509(calcium ion binding),GO:0030247(polysaccharide binding)
Ss07g13160.1	GO:0006355(regulation of transcription, DNA-templated)	GO:0005634(nucleus)	GO:0005524(ATP binding)
Ss07g13130.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003700(DNA-binding transcription factor activity)
Ss04g19340.1	GO:0006265(DNA topological change),GO:0006259(DNA metabolic process)	-	GO:0003677(DNA binding),GO:0003918(DNA topoisomerase type II (ATP-hydrolyzing) activity),GO:0005524(ATP binding)
Ss04g19390.1	GO:0006468(protein phosphorylation)	GO:0016021(integral component of membrane)	GO:0005509(calcium ion binding),GO:0005524(ATP binding),GO:0030247(polysaccharide binding),GO:0004672(protein kinase activity),GO:0004674(protein serine/threonine kinase activity)
Ss04g19380.1	GO:0006468(protein phosphorylation)	GO:0016021(integral component of membrane)	GO:0005509(calcium ion binding),GO:0004672(protein kinase activity),GO:0004674(protein serine/threonine kinase activity),GO:0030247(polysaccharide binding),GO:0005524(ATP binding)
Ss06g11440.1	GO:0006812(cation transport),GO:0055085(transmembrane transport),GO:0006814(sodium ion transport),GO:0006885(regulation of pH)	GO:0016021(integral component of membrane)	GO:0015299(solute:proton antiporter activity),GO:0015385(sodium:proton antiporter activity)
Ss11g01520.1	GO:0005975(carbohydrate metabolic process)	-	GO:0004553(hydrolase activity, hydrolyzing O-glycosyl compounds)
Ss06g11350.1	-	-	GO:0008168(methyltransferase activity)
Ss06g11370.1	GO:0055114(oxidation-reduction process)	GO:0016020(membrane)	-
Ss11g01480.1	-	-	GO:0004857(enzyme inhibitor activity)
Ss11g01510.1	-	-	GO:0005515(protein binding)
Ss06g11410.1	-	-	GO:0005515(protein binding)
Ss11g04650.1	GO:0043039(tRNA aminoacylation),GO:0006418(tRNA aminoacylation for protein translation),GO:0006412(translation)	GO:0005737(cytoplasm)	GO:0000166(nucleotide binding),GO:0004812(aminoacyl-tRNA ligase activity),GO:0005524(ATP binding)
Ss11g04630.1	-	-	GO:0043531(ADP binding)
Ss11g04620.1	-	-	GO:0003723(RNA binding),GO:0003676(nucleic acid binding)
Ss11g04680.1	GO:0006352(DNA-templated transcription, initiation),GO:0044237(cellular metabolic process)	GO:0030880(RNA polymerase complex)	GO:0000166(nucleotide binding),GO:0003824(catalytic activity)
Ss11g04670.1	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
Ss11g04660.1	-	-	GO:0005515(protein binding)
Ss07g00810.1	GO:0006468(protein phosphorylation)	-	GO:0005515(protein binding),GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss11g04710.1	GO:0006424(glutamyl-tRNA aminoacylation),GO:0006418(tRNA aminoacylation for protein translation),GO:0043039(tRNA aminoacylation),GO:0006412(translation)	GO:0005737(cytoplasm)	GO:0000166(nucleotide binding),GO:0004818(glutamate-tRNA ligase activity),GO:0005524(ATP binding),GO:0004812(aminoacyl-tRNA ligase activity)
Ss11g04700.1	-	-	GO:0043531(ADP binding)
Ss03g26310.1	GO:0055085(transmembrane transport)	GO:0016020(membrane)	GO:0022857(transmembrane transporter activity)
Ss03g12350.1	-	-	GO:0046983(protein dimerization activity)
Ss01g18060.1	GO:0006468(protein phosphorylation)	-	GO:0005524(ATP binding),GO:0004672(protein kinase activity)
Ss03g12370.1	-	-	GO:0047429(nucleoside-triphosphate diphosphatase activity)
Ss04g21940.1	GO:0030418(nicotianamine biosynthetic process)	-	GO:0030410(nicotianamine synthase activity)
Ss04g21930.1	GO:0042545(cell wall modification)	-	GO:0004857(enzyme inhibitor activity),GO:0030599(pectinesterase activity)
Ss04g21900.1	-	-	GO:0046983(protein dimerization activity)
Ss04g21890.1	GO:0055085(transmembrane transport)	GO:0016021(integral component of membrane)	GO:0005524(ATP binding),GO:0042626(ATPase activity, coupled to transmembrane movement of substances),GO:0016887(ATPase activity)
Ss04g21920.1	GO:0045454(cell redox homeostasis)	-	GO:0009055(electron transfer activity),GO:0015035(protein disulfide oxidoreductase activity)
Ss04g21910.1	-	-	GO:0003676(nucleic acid binding)
Ss04g21860.1	GO:0006511(ubiquitin-dependent protein catabolic process)	-	GO:0031625(ubiquitin protein ligase binding)
Ss04g21850.1	GO:0006412(translation)	GO:0030956(glutamyl-tRNA(Gln) amidotransferase complex)	GO:0050567(glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity)
Ss04g21880.1	-	-	GO:0005515(protein binding),GO:0008017(microtubule binding)
Ss03g16770.1	GO:0006096(glycolytic process)	-	GO:0000287(magnesium ion binding),GO:0004743(pyruvate kinase activity),GO:0030955(potassium ion binding),GO:0003824(catalytic activity)
Ss09g05460.1	GO:0009058(biosynthetic process)	-	GO:0016844(strictosidine synthase activity)
Ss02g11380.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003700(DNA-binding transcription factor activity),GO:0003677(DNA binding)
Ss04g03200.1	GO:0006979(response to oxidative stress),GO:0055114(oxidation-reduction process)	-	GO:0004601(peroxidase activity),GO:0020037(heme binding)
Ss04g03180.1	GO:0042147(retrograde transport, endosome to Golgi)	-	-
Ss04g03160.1	GO:0055085(transmembrane transport)	GO:0016021(integral component of membrane)	GO:0005524(ATP binding),GO:0042626(ATPase activity, coupled to transmembrane movement of substances),GO:0016887(ATPase activity)
Ss04g03140.1	GO:0016567(protein ubiquitination)	-	GO:0004842(ubiquitin-protein transferase activity),GO:0005515(protein binding)
Ss04g03150.1	-	-	GO:0005524(ATP binding),GO:0016887(ATPase activity)
Ss04g05750.1	-	-	GO:0005515(protein binding)
Ss10g06750.1	GO:0007165(signal transduction)	-	-
Ss06g08870.1	-	-	GO:0005515(protein binding)
Ss10g06730.1	GO:0006412(translation)	GO:0005622(intracellular),GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome),GO:0019843(rRNA binding)
Ss10g06610.1	GO:0045901(positive regulation of translational elongation),GO:0045905(positive regulation of translational termination)	-	GO:0003723(RNA binding),GO:0003746(translation elongation factor activity),GO:0043022(ribosome binding)
Ss06g08900.1	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome),GO:0019843(rRNA binding)
Ss06g08880.1	-	-	GO:0005515(protein binding)
Ss04g05890.1	GO:0006631(fatty acid metabolic process),GO:0055114(oxidation-reduction process),GO:0006633(fatty acid biosynthetic process)	-	GO:0045300(acyl-[acyl-carrier-protein] desaturase activity),GO:0016491(oxidoreductase activity)
Ss06g08930.1	-	-	GO:0005515(protein binding)
Ss06g08920.1	-	-	GO:0048037(cofactor binding)
Ss01g30120.1	GO:0045454(cell redox homeostasis)	GO:0005783(endoplasmic reticulum)	GO:0016853(isomerase activity)
Ss01g30130.1	-	-	GO:0005515(protein binding)
Ss01g30140.1	GO:0006457(protein folding)	-	GO:0051082(unfolded protein binding)
Ss04g05900.1	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
Ss10g13740.1	GO:0006614(SRP-dependent cotranslational protein targeting to membrane)	GO:0048500(signal recognition particle)	GO:0008312(7S RNA binding),GO:0005525(GTP binding)
Ss02g11370.1	GO:0000350(generation of catalytic spliceosome for second transesterification step)	-	-
Ss10g06560.1	-	-	GO:0005515(protein binding)
Ss01g11450.1	-	-	GO:0003677(DNA binding)
Ss10g13650.1	-	GO:0016021(integral component of membrane)	-
Ss09g06320.1	GO:0045454(cell redox homeostasis)	-	GO:0005515(protein binding)
Ss07g14430.1	GO:0006355(regulation of transcription, DNA-templated)	GO:0016602(CCAAT-binding factor complex)	GO:0003700(DNA-binding transcription factor activity),GO:0003677(DNA binding)
Ss09g06380.1	GO:0046488(phosphatidylinositol metabolic process)	-	GO:0016307(phosphatidylinositol phosphate kinase activity),GO:0005524(ATP binding)
Ss02g07420.1	-	-	GO:0016788(hydrolase activity, acting on ester bonds)
Ss07g14410.1	GO:0055085(transmembrane transport)	GO:0016020(membrane)	GO:0022857(transmembrane transporter activity)
Ss10g06620.1	-	-	GO:0004857(enzyme inhibitor activity)
Ss09g06370.1	GO:0006355(regulation of transcription, DNA-templated),GO:0006334(nucleosome assembly)	GO:0000785(chromatin),GO:0005634(nucleus),GO:0000786(nucleosome)	GO:0003677(DNA binding)
Ss02g24590.1	-	GO:0016021(integral component of membrane)	-
Ss10g04360.1	GO:0006013(mannose metabolic process),GO:0005975(carbohydrate metabolic process)	-	GO:0004559(alpha-mannosidase activity),GO:0003824(catalytic activity),GO:0030246(carbohydrate binding)
Ss02g24600.1	-	-	GO:0005515(protein binding)
Ss02g24550.1	GO:0055114(oxidation-reduction process)	-	GO:0005506(iron ion binding),GO:0016705(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen),GO:0020037(heme binding)
Ss03g09580.1	-	-	GO:0003723(RNA binding)
Ss10g04310.1	-	-	GO:0003924(GTPase activity),GO:0005525(GTP binding)
Ss02g24620.1	-	-	GO:0003676(nucleic acid binding),GO:0004386(helicase activity),GO:0005524(ATP binding)
Ss07g15720.1	-	GO:0016020(membrane)	-
Ss10g06690.1	GO:0006260(DNA replication),GO:0006281(DNA repair),GO:0006310(DNA recombination)	GO:0005622(intracellular)	GO:0043140(ATP-dependent 3'-5' DNA helicase activity),GO:0003676(nucleic acid binding),GO:0005524(ATP binding),GO:0008026(ATP-dependent helicase activity)
Ss11g00010.1	GO:0009396(folic acid-containing compound biosynthetic process),GO:0009058(biosynthetic process)	-	GO:0004326(tetrahydrofolylpolyglutamate synthase activity),GO:0005524(ATP binding),GO:0016874(ligase activity)
Ss02g09220.1	GO:0015986(ATP synthesis coupled proton transport)	GO:0016020(membrane)	GO:0046933(proton-transporting ATP synthase activity, rotational mechanism)
Ss11g00030.1	GO:0006839(mitochondrial transport)	GO:0031966(mitochondrial membrane)	-
Ss11g00020.1	GO:0006511(ubiquitin-dependent protein catabolic process)	-	-
Ss10g11240.1	GO:0016070(RNA metabolic process)	-	GO:0043565(sequence-specific DNA binding),GO:0003697(single-stranded DNA binding),GO:0003723(RNA binding)
Ss10g11230.1	-	-	GO:0005524(ATP binding),GO:0016887(ATPase activity)
Ss10g11260.1	-	-	GO:0003677(DNA binding)
Ss10g15840.1	-	-	GO:0005515(protein binding)
Ss11g00090.1	GO:0006231(dTMP biosynthetic process),GO:0006730(one-carbon metabolic process),GO:0055114(oxidation-reduction process),GO:0046654(tetrahydrofolate biosynthetic process)	-	GO:0004799(thymidylate synthase activity),GO:0004146(dihydrofolate reductase activity)
Ss11g00080.1	GO:0046274(lignin catabolic process),GO:0055114(oxidation-reduction process)	GO:0048046(apoplast)	GO:0005507(copper ion binding),GO:0052716(hydroquinone:oxygen oxidoreductase activity),GO:0016491(oxidoreductase activity)
Ss02g18760.1	-	-	GO:0003677(DNA binding)
Ss10g15800.1	GO:0006468(protein phosphorylation)	-	GO:0005524(ATP binding),GO:0004672(protein kinase activity)
Ss04g00500.1	GO:0006629(lipid metabolic process)	-	GO:0016627(oxidoreductase activity, acting on the CH-CH group of donors)
Ss04g00510.1	GO:0042744(hydrogen peroxide catabolic process),GO:0006979(response to oxidative stress),GO:0055114(oxidation-reduction process)	-	GO:0004601(peroxidase activity),GO:0020037(heme binding)
Ss04g00530.1	GO:0006207('de novo' pyrimidine nucleobase biosynthetic process),GO:0006221(pyrimidine nucleotide biosynthetic process),GO:0006139(nucleobase-containing compound metabolic process)	-	GO:0004127(cytidylate kinase activity),GO:0009041(uridylate kinase activity),GO:0005524(ATP binding),GO:0019205(nucleobase-containing compound kinase activity)
Ss04g00550.1	-	-	GO:0004857(enzyme inhibitor activity)
Ss02g10520.1	GO:0006559(L-phenylalanine catabolic process)	GO:0005737(cytoplasm)	GO:0016841(ammonia-lyase activity),GO:0003824(catalytic activity)
Ss04g00570.1	-	-	GO:0046872(metal ion binding),GO:0016813(hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines)
Ss10g05530.1	-	-	GO:0005509(calcium ion binding)
Ss07g11230.1	-	-	GO:0005509(calcium ion binding)
Ss10g04140.1	-	-	GO:0043531(ADP binding)
Ss11g02350.1	GO:0006814(sodium ion transport),GO:0006885(regulation of pH),GO:0055085(transmembrane transport),GO:0006812(cation transport)	GO:0016021(integral component of membrane)	GO:0015385(sodium:proton antiporter activity),GO:0015299(solute:proton antiporter activity)
Ss01g16910.1	GO:0015986(ATP synthesis coupled proton transport)	GO:0000276(mitochondrial proton-transporting ATP synthase complex, coupling factor F(o))	GO:0015078(proton transmembrane transporter activity)
Ss11g02340.1	GO:0007018(microtubule-based movement)	-	GO:0003777(microtubule motor activity),GO:0005524(ATP binding),GO:0008017(microtubule binding)
Ss07g01980.1	GO:0022900(electron transport chain),GO:0055114(oxidation-reduction process),GO:0006099(tricarboxylic acid cycle)	-	GO:0016627(oxidoreductase activity, acting on the CH-CH group of donors),GO:0050660(flavin adenine dinucleotide binding),GO:0016491(oxidoreductase activity)
Ss03g28030.1	-	-	GO:0046983(protein dimerization activity)
Ss08g05890.1	GO:0009073(aromatic amino acid family biosynthetic process)	-	GO:0003849(3-deoxy-7-phosphoheptulonate synthase activity),GO:0003824(catalytic activity)
Ss07g11270.1	-	-	GO:0005515(protein binding)
Ss02g11410.1	-	-	GO:0016836(hydro-lyase activity)
Ss06g07550.1	-	-	GO:0003676(nucleic acid binding)
Ss07g22580.1	GO:0006412(translation)	GO:0005840(ribosome),GO:0015935(small ribosomal subunit)	GO:0003735(structural constituent of ribosome)
Ss06g07520.1	GO:0006270(DNA replication initiation)	-	GO:0003677(DNA binding),GO:0005524(ATP binding)
Ss06g07510.1	-	-	GO:0009055(electron transfer activity)
Ss03g08050.1	GO:0006021(inositol biosynthetic process),GO:0008654(phospholipid biosynthetic process)	-	GO:0004512(inositol-3-phosphate synthase activity)
Ss06g07490.1	-	-	GO:0046983(protein dimerization activity)
Ss06g07480.1	GO:0005975(carbohydrate metabolic process)	-	GO:0004553(hydrolase activity, hydrolyzing O-glycosyl compounds)
Ss03g08020.1	GO:0055085(transmembrane transport)	GO:0016021(integral component of membrane),GO:0016020(membrane)	GO:0022857(transmembrane transporter activity)
Ss07g05230.1	GO:0007018(microtubule-based movement)	-	GO:0003777(microtubule motor activity),GO:0005524(ATP binding),GO:0008017(microtubule binding)
Ss03g08040.1	-	-	GO:0003824(catalytic activity)
Ss11g02380.1	-	-	GO:0043531(ADP binding)
Ss03g07980.1	-	-	GO:0003824(catalytic activity)
Ss03g07970.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003700(DNA-binding transcription factor activity),GO:0003677(DNA binding)
Ss07g05190.1	GO:0006412(translation)	GO:0005840(ribosome),GO:0015935(small ribosomal subunit)	GO:0003735(structural constituent of ribosome),GO:0003723(RNA binding)
Ss03g07990.1	GO:0006508(proteolysis)	-	GO:0004185(serine-type carboxypeptidase activity)
Ss01g27980.1	-	-	GO:0003723(RNA binding)
Ss09g13650.1	-	-	GO:0005525(GTP binding),GO:0003924(GTPase activity)
Ss09g13640.1	-	-	GO:0003676(nucleic acid binding)
Ss03g28040.1	-	-	GO:0046983(protein dimerization activity)
Ss01g28020.1	GO:0006412(translation)	GO:0005840(ribosome),GO:0005622(intracellular)	GO:0003735(structural constituent of ribosome),GO:0019843(rRNA binding)
Ss01g28040.1	GO:0055114(oxidation-reduction process)	GO:0016020(membrane)	-
Ss09g13670.1	-	-	GO:0003824(catalytic activity)
Ss01g28050.1	GO:0055114(oxidation-reduction process)	GO:0016020(membrane)	-
Ss02g15750.1	GO:0016226(iron-sulfur cluster assembly)	-	GO:0005524(ATP binding),GO:0051536(iron-sulfur cluster binding),GO:0051539(4 iron, 4 sulfur cluster binding)
Ss07g17940.1	GO:0006432(phenylalanyl-tRNA aminoacylation)	GO:0005737(cytoplasm)	GO:0000166(nucleotide binding),GO:0004826(phenylalanine-tRNA ligase activity),GO:0005524(ATP binding),GO:0003723(RNA binding),GO:0000287(magnesium ion binding)
Ss03g38280.1	-	-	GO:0016491(oxidoreductase activity)
Ss03g38250.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss03g31900.1	-	-	GO:0005515(protein binding)
Ss03g31830.1	-	GO:0000786(nucleosome),GO:0005634(nucleus)	GO:0003677(DNA binding),GO:0046982(protein heterodimerization activity)
Ss03g31840.1	GO:0000103(sulfate assimilation)	-	GO:0004781(sulfate adenylyltransferase (ATP) activity)
Ss03g31850.1	GO:0006468(protein phosphorylation)	-	GO:0005515(protein binding),GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss03g31860.1	-	-	GO:0003824(catalytic activity),GO:0030170(pyridoxal phosphate binding)
Ss01g06130.1	GO:0006457(protein folding)	GO:0005783(endoplasmic reticulum)	GO:0005509(calcium ion binding),GO:0005515(protein binding),GO:0051082(unfolded protein binding)
Ss03g38290.1	-	-	GO:0005525(GTP binding),GO:0003924(GTPase activity)
Ss07g22620.1	GO:0055085(transmembrane transport)	GO:0016021(integral component of membrane)	GO:0005524(ATP binding),GO:0042626(ATPase activity, coupled to transmembrane movement of substances),GO:0016887(ATPase activity)
Ss07g18710.1	GO:0006457(protein folding),GO:0006468(protein phosphorylation)	GO:0016272(prefoldin complex)	GO:0005524(ATP binding),GO:0051082(unfolded protein binding),GO:0005509(calcium ion binding),GO:0004672(protein kinase activity)
Ss02g06240.1	-	-	GO:0016758(transferase activity, transferring hexosyl groups)
Ss02g06250.1	-	-	GO:0016758(transferase activity, transferring hexosyl groups)
Ss02g06230.1	-	-	GO:0016758(transferase activity, transferring hexosyl groups)
Ss07g29340.1	-	-	GO:0016787(hydrolase activity),GO:0003824(catalytic activity)
Ss02g06280.1	-	-	GO:0008168(methyltransferase activity)
Ss02g06290.1	GO:0045454(cell redox homeostasis)	-	-
Ss02g06260.1	-	-	GO:0003676(nucleic acid binding)
Ss02g06270.1	GO:0055114(oxidation-reduction process)	-	GO:0005515(protein binding),GO:0016491(oxidoreductase activity),GO:0003677(DNA binding)
Ss07g29350.1	GO:0006629(lipid metabolic process)	-	GO:0008081(phosphoric diester hydrolase activity)
Ss01g01550.1	-	GO:0016020(membrane)	-
Ss02g06310.1	-	-	GO:0005515(protein binding)
Ss07g22330.1	-	-	GO:0003676(nucleic acid binding)
Ss07g29360.1	GO:0071669(plant-type cell wall organization or biogenesis)	-	GO:0016866(intramolecular transferase activity)
Ss03g26580.1	GO:0044237(cellular metabolic process)	-	-
Ss03g27930.1	-	-	GO:0005515(protein binding)
Ss02g32600.1	GO:0055114(oxidation-reduction process),GO:0009435(NAD biosynthetic process)	-	GO:0016491(oxidoreductase activity),GO:0008734(L-aspartate oxidase activity)
Ss04g11880.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003700(DNA-binding transcription factor activity),GO:0003677(DNA binding)
Ss02g32660.1	GO:0006511(ubiquitin-dependent protein catabolic process),GO:0051603(proteolysis involved in cellular protein catabolic process)	GO:0019773(proteasome core complex, alpha-subunit complex),GO:0005839(proteasome core complex)	GO:0004175(endopeptidase activity),GO:0004298(threonine-type endopeptidase activity)
Ss03g27970.1	-	-	GO:0005515(protein binding)
Ss02g32630.1	GO:0009058(biosynthetic process)	-	GO:0003824(catalytic activity)
Ss04g11830.1	GO:0006817(phosphate ion transport)	GO:0016020(membrane)	GO:0005315(inorganic phosphate transmembrane transporter activity)
Ss04g11820.1	-	GO:0032299(ribonuclease H2 complex)	-
Ss04g11810.1	GO:0009308(amine metabolic process),GO:0055114(oxidation-reduction process)	-	GO:0005507(copper ion binding),GO:0008131(primary amine oxidase activity),GO:0048038(quinone binding)
Ss04g11800.1	-	-	GO:0005515(protein binding)
Ss04g16270.1	-	-	GO:0016787(hydrolase activity)
Ss04g11860.1	-	-	GO:0005515(protein binding),GO:0008270(zinc ion binding)
Ss04g11850.1	-	-	GO:0005515(protein binding)
Ss03g26590.1	GO:0055114(oxidation-reduction process)	-	GO:0016702(oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen)
Ss05g12980.1	GO:0007018(microtubule-based movement)	-	GO:0003777(microtubule motor activity),GO:0005524(ATP binding),GO:0008017(microtubule binding),GO:0005515(protein binding)
Ss08g15680.1	-	-	GO:0005515(protein binding)
Ss05g12970.1	GO:0006310(DNA recombination)	-	GO:0003676(nucleic acid binding),GO:0005524(ATP binding),GO:0008026(ATP-dependent helicase activity)
Ss05g13020.1	-	-	GO:0005515(protein binding)
Ss05g13000.1	GO:0007166(cell surface receptor signaling pathway)	-	-
Ss05g13010.1	GO:0006468(protein phosphorylation),GO:0007166(cell surface receptor signaling pathway)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss01g01540.1	-	-	GO:0003824(catalytic activity),GO:0046872(metal ion binding)
Ss01g43840.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003677(DNA binding)
Ss05g13040.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0008270(zinc ion binding),GO:0043565(sequence-specific DNA binding),GO:0003682(chromatin binding)
Ss07g29760.1	-	-	GO:0008146(sulfotransferase activity)
Ss08g12920.1	-	-	GO:0008270(zinc ion binding),GO:0005515(protein binding)
Ss01g35590.1	-	-	GO:0005515(protein binding),GO:0008270(zinc ion binding)
Ss06g19200.1	GO:0006412(translation)	GO:0015935(small ribosomal subunit)	GO:0003735(structural constituent of ribosome),GO:0003723(RNA binding)
Ss11g09290.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003700(DNA-binding transcription factor activity),GO:0003677(DNA binding)
Ss01g35540.1	-	GO:0016021(integral component of membrane)	-
Ss01g10100.1	-	-	GO:0003676(nucleic acid binding)
Ss03g33290.1	-	-	GO:0003677(DNA binding)
Ss10g17810.1	GO:0055085(transmembrane transport)	GO:0016021(integral component of membrane),GO:0016020(membrane)	GO:0022857(transmembrane transporter activity),GO:0005215(transporter activity)
Ss06g19140.1	GO:0005985(sucrose metabolic process)	-	GO:0046524(sucrose-phosphate synthase activity),GO:0016157(sucrose synthase activity)
Ss06g19130.1	-	GO:0016021(integral component of membrane)	-
Ss06g19120.1	GO:0006289(nucleotide-excision repair),GO:0006281(DNA repair),GO:0006284(base-excision repair)	-	GO:0003684(damaged DNA binding),GO:0003906(DNA-(apurinic or apyrimidinic site) endonuclease activity),GO:0008270(zinc ion binding),GO:0016799(hydrolase activity, hydrolyzing N-glycosyl compounds),GO:0008534(oxidized purine nucleobase lesion DNA N-glycosylase activity),GO:0003676(nucleic acid binding)
