Gene_ID	SwissProt_ID	Identity	Align Length	Q start	Q end	T start	T end	E value	Score	Function
Ss04g04140.1	P0C2F6|RNHX1_ARATH	35.955	89	2	90	32	119	4.16E-12	63.5	Putative ribonuclease H protein At1g65750 OS=Arabidopsis thaliana OX=3702 GN=At1g65750 PE=3 SV=1
Ss03g12880.1	Q9S7R7|Y3903_ARATH	46.362	481	9	471	6	459	7.42E-139	410	BTB/POZ domain-containing protein At3g09030 OS=Arabidopsis thaliana OX=3702 GN=At3g09030 PE=2 SV=1
Ss03g12860.1	Q9XJ29|ASA2_ORYSJ	93.35	391	313	703	216	606	0	761	Anthranilate synthase alpha subunit 2, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=OsASA2 PE=1 SV=1
Ss03g12850.1	Q93YN1|CRPK1_ARATH	51.488	336	11	343	2	333	2.73E-117	349	Cold-responsive protein kinase 1 OS=Arabidopsis thaliana OX=3702 GN=CRPK1 PE=1 SV=1
Ss03g12840.1	Q84QC0|ASCL3_ORYSJ	82.394	284	1	284	1	284	2.26E-174	485	ASC1-like protein 3 OS=Oryza sativa subsp. japonica OX=39947 GN=Os03g0264000 PE=2 SV=1
Ss03g12830.1	O23052|Y1515_ARATH	65.542	830	8	834	2	803	0	1097	Uncharacterized TPR repeat-containing protein At1g05150 OS=Arabidopsis thaliana OX=3702 GN=At1g05150 PE=1 SV=1
Ss03g12820.1	Q9LDD1|BRG3_ARATH	35.349	215	137	338	123	333	2.70E-30	120	Probable BOI-related E3 ubiquitin-protein ligase 3 OS=Arabidopsis thaliana OX=3702 GN=BRG3 PE=1 SV=1
Ss03g12810.1	Q6S9C4|SELK_CHILA	38.028	71	1	65	1	71	6.22E-08	49.7	Selenoprotein K OS=Chinchilla lanigera OX=34839 GN=SELENOK PE=3 SV=3
Ss03g12800.1	Q9M1B4|SSL13_ARATH	64.878	410	1	408	1	399	0	557	Protein STRICTOSIDINE SYNTHASE-LIKE 13 OS=Arabidopsis thaliana OX=3702 GN=SSL13 PE=1 SV=1
Ss03g12790.1	Q6AXT8|SF3A2_RAT	64.889	225	6	230	8	226	1.61E-88	276	Splicing factor 3A subunit 2 OS=Rattus norvegicus OX=10116 GN=Sf3a2 PE=2 SV=1
Ss04g09320.1	F4I114|Y1960_ARATH	55.345	580	117	674	124	692	0	608	Probable serine/threonine-protein kinase At1g09600 OS=Arabidopsis thaliana OX=3702 GN=At1g09600 PE=3 SV=1
Ss04g09300.1	Q58DN4|PPME1_BOVIN	45.181	332	41	327	41	372	2.03E-95	291	Protein phosphatase methylesterase 1 OS=Bos taurus OX=9913 GN=PPME1 PE=2 SV=3
Ss04g09290.1	Q96282|CLCC_ARATH	75.834	749	100	845	31	778	0	1123	Chloride channel protein CLC-c OS=Arabidopsis thaliana OX=3702 GN=CLC-C PE=1 SV=1
Ss04g09280.1	Q2HWG4|ORR1_ORYSJ	71.901	242	1	226	1	231	8.27E-107	310	Two-component response regulator ORR1 OS=Oryza sativa subsp. japonica OX=39947 GN=RR1 PE=2 SV=1
Ss01g08420.1	Q8L7F7|NUP62_ARATH	56.013	316	73	379	427	738	4.28E-112	346	Nuclear pore complex protein NUP62 OS=Arabidopsis thaliana OX=3702 GN=NUP62 PE=1 SV=1
Ss01g08390.1	Q9ST43|PH1_ARATH	66.892	148	4	149	3	144	1.77E-64	197	Pleckstrin homology domain-containing protein 1 OS=Arabidopsis thaliana OX=3702 GN=PH1 PE=2 SV=2
Ss01g08400.1	Q9LMN8|WAK3_ARATH	40.863	695	29	708	27	697	1.02E-161	487	Wall-associated receptor kinase 3 OS=Arabidopsis thaliana OX=3702 GN=WAK3 PE=2 SV=2
Ss01g08370.1	Q5YDB5|CPL2_ARATH	63.617	459	26	483	10	463	0	595	RNA polymerase II C-terminal domain phosphatase-like 2 OS=Arabidopsis thaliana OX=3702 GN=CPL2 PE=1 SV=3
Ss01g08380.1	P36914|AMYG_ASPOR	28.889	135	22	151	474	602	4.36E-08	58.2	Glucoamylase OS=Aspergillus oryzae (strain ATCC 42149 / RIB 40) OX=510516 GN=glaA PE=2 SV=2
Ss01g08350.1	Q9M8J9|BPM2_ARATH	34.821	336	2	322	12	340	4.74E-59	198	BTB/POZ and MATH domain-containing protein 2 OS=Arabidopsis thaliana OX=3702 GN=BPM2 PE=1 SV=1
Ss04g09350.1	B9FSC8|OPR11_ORYSJ	74.044	366	1	366	1	366	0	583	Putative 12-oxophytodienoate reductase 11 OS=Oryza sativa subsp. japonica OX=39947 GN=OPR11 PE=2 SV=1
Ss09g03100.1	Q9LTA6|WAV3_ARATH	28.319	452	71	439	119	556	3.27E-29	125	E3 ubiquitin-protein ligase WAV3 OS=Arabidopsis thaliana OX=3702 GN=WAV3 PE=1 SV=1
Ss09g03090.1	Q8LPQ9|FPA_ARATH	48.507	134	499	632	441	574	1.30E-33	143	Flowering time control protein FPA OS=Arabidopsis thaliana OX=3702 GN=FPA PE=1 SV=2
Ss09g03070.1	Q9LZH5|LTPG2_ARATH	28.667	150	17	144	20	163	2.08E-08	54.7	Non-specific lipid transfer protein GPI-anchored 2 OS=Arabidopsis thaliana OX=3702 GN=LTPG2 PE=2 SV=1
Ss09g03060.1	Q02500|NU6M_WHEAT	83.24	179	1	165	19	197	1.33E-92	272	NADH-ubiquinone oxidoreductase chain 6 OS=Triticum aestivum OX=4565 GN=ND6 PE=3 SV=1
Ss09g03040.1	Q4VZL2|NDHH_CUCSA	47.514	181	78	189	213	393	5.92E-40	142	NAD(P)H-quinone oxidoreductase subunit H, chloroplastic OS=Cucumis sativus OX=3659 GN=ndhH PE=3 SV=1
Ss10g12620.1	Q6TGC6|CBK1_PNECA	47.265	457	37	486	50	502	3.20E-147	436	Serine/threonine-protein kinase CBK1 OS=Pneumocystis carinii OX=4754 GN=CBK1 PE=2 SV=1
Ss10g12610.1	Q681Q7|Y1390_ARATH	71.062	273	9	278	11	272	2.21E-117	340	Uncharacterized protein At1g03900 OS=Arabidopsis thaliana OX=3702 GN=At1g03900 PE=2 SV=1
Ss10g12640.1	Q6K9N1|CKI1_ORYSJ	74.576	472	1	468	1	463	0	713	Casein kinase 1 OS=Oryza sativa subsp. japonica OX=39947 GN=CKI1 PE=1 SV=1
Ss10g12580.1	Q0WL80|UGGG_ARATH	64.607	1602	35	1627	28	1607	0	2129	UDP-glucose:glycoprotein glucosyltransferase OS=Arabidopsis thaliana OX=3702 GN=UGGT PE=1 SV=1
Ss09g03120.1	P15280|GLGS2_ORYSJ	91.471	469	35	503	52	514	0	871	Glucose-1-phosphate adenylyltransferase small subunit 2, chloroplastic/amyloplastic/cytosolic OS=Oryza sativa subsp. japonica OX=39947 GN=AGPS2 PE=1 SV=4
Ss09g03110.1	Q9FKT5|THOC3_ARATH	78.065	310	28	335	6	315	0	512	THO complex subunit 3 OS=Arabidopsis thaliana OX=3702 GN=THO3 PE=1 SV=1
Ss02g23280.1	O22126|FLA8_ARATH	42.029	276	10	262	16	283	8.74E-58	194	Fasciclin-like arabinogalactan protein 8 OS=Arabidopsis thaliana OX=3702 GN=FLA8 PE=2 SV=1
Ss02g23260.1	B5X0I6|VIP6_ARATH	62.636	1100	1	1082	1	1079	0	1366	Protein CTR9 homolog OS=Arabidopsis thaliana OX=3702 GN=VIP6 PE=1 SV=1
Ss02g23240.1	Q9FNK5|FB285_ARATH	59.843	254	69	309	153	395	1.78E-91	280	F-box protein At5g46170 OS=Arabidopsis thaliana OX=3702 GN=At5g46170 PE=2 SV=1
Ss02g23230.1	Q8VYP5|ZDH14_ARATH	77.316	313	1	313	1	307	1.60E-174	488	Probable protein S-acyltransferase 14 OS=Arabidopsis thaliana OX=3702 GN=PAT14 PE=2 SV=1
Ss02g23210.1	Q6ENP8|CCSA_SACOF	75	224	72	252	98	321	3.46E-108	318	Cytochrome c biogenesis protein CcsA OS=Saccharum officinarum OX=4547 GN=ccsA PE=3 SV=1
Ss02g23200.1	Q9SZP8|IF4B3_ARATH	41.975	405	2	361	4	382	3.91E-43	159	Eukaryotic translation initiation factor 4B3 OS=Arabidopsis thaliana OX=3702 GN=EIF4B3 PE=1 SV=1
Ss06g05060.1	Q9FFF6|DIOX5_ARATH	36.446	332	2	328	22	349	1.45E-65	214	Probable 2-oxoglutarate-dependent dioxygenase At5g05600 OS=Arabidopsis thaliana OX=3702 GN=At5g05600 PE=2 SV=1
Ss06g05050.1	Q39224|SRG1_ARATH	35.345	348	9	353	17	358	6.82E-68	220	Protein SRG1 OS=Arabidopsis thaliana OX=3702 GN=SRG1 PE=2 SV=1
Ss06g05040.1	Q58FV0|DOGL3_ARATH	33	200	13	208	87	258	7.78E-28	109	Protein DOG1-like 3 OS=Arabidopsis thaliana OX=3702 GN=DOGL3 PE=2 SV=1
Ss06g05030.1	Q9T0D6|PP306_ARATH	47.778	90	1	90	224	313	1.07E-22	93.6	Pentatricopeptide repeat-containing protein At4g11690 OS=Arabidopsis thaliana OX=3702 GN=At4g11690 PE=2 SV=1
Ss06g05020.1	Q94A05|B3GTA_ARATH	64.972	354	1	353	1	345	3.57E-171	483	Hydroxyproline O-galactosyltransferase HPGT2 OS=Arabidopsis thaliana OX=3702 GN=HPGT2 PE=1 SV=1
Ss06g05010.1	Q0DWQ1|MGDG3_ORYSJ	90.303	495	8	499	14	508	0	880	Probable monogalactosyldiacylglycerol synthase 3, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=MGD3 PE=3 SV=2
Ss06g05000.1	B7IFB5|RS15_THEAB	57.333	75	344	416	9	83	3.49E-18	82.4	30S ribosomal protein S15 OS=Thermosipho africanus (strain TCF52B) OX=484019 GN=rpsO PE=3 SV=1
Ss06g05080.1	Q39224|SRG1_ARATH	33.918	171	143	290	188	358	1.18E-22	99.4	Protein SRG1 OS=Arabidopsis thaliana OX=3702 GN=SRG1 PE=2 SV=1
Ss06g05070.1	Q39224|SRG1_ARATH	37.176	347	7	349	17	358	1.69E-73	234	Protein SRG1 OS=Arabidopsis thaliana OX=3702 GN=SRG1 PE=2 SV=1
Ss09g12280.1	A1E9W9|RR7_SORBI	71.97	132	1	112	25	156	5.32E-60	184	30S ribosomal protein S7, chloroplastic OS=Sorghum bicolor OX=4558 GN=rps7-A PE=3 SV=1
Ss09g12260.1	Q0J0K1|SPL18_ORYSJ	62.712	472	1	405	1	472	1.30E-153	445	Squamosa promoter-binding-like protein 18 OS=Oryza sativa subsp. japonica OX=39947 GN=SPL18 PE=2 SV=1
Ss09g12250.1	Q9SAR1|MADS8_ORYSJ	90.763	249	1	246	1	248	1.64E-164	457	MADS-box transcription factor 8 OS=Oryza sativa subsp. japonica OX=39947 GN=MADS8 PE=1 SV=1
Ss09g12320.1	Q76CY8|PAIR2_ORYSJ	80.331	605	1	602	1	603	0	980	Meiosis-specific protein PAIR2 OS=Oryza sativa subsp. japonica OX=39947 GN=PAIR2 PE=2 SV=1
Ss09g12310.1	F4JRR5|TTL_ARATH	40.088	454	6	425	2	416	1.36E-86	273	TITAN-like protein OS=Arabidopsis thaliana OX=3702 GN=TTL PE=2 SV=1
Ss09g12290.1	P0CD17|NU2C2_ORYNI	65.244	492	1	376	19	510	0	548	NAD(P)H-quinone oxidoreductase subunit 2 B, chloroplastic OS=Oryza nivara OX=4536 GN=ndhB2 PE=3 SV=1
Ss09g12340.1	Q9BRS2|RIOK1_HUMAN	46.627	504	99	582	80	565	1.54E-137	414	Serine/threonine-protein kinase RIO1 OS=Homo sapiens OX=9606 GN=RIOK1 PE=1 SV=2
Ss09g12330.1	Q9SZL8|FRS5_ARATH	33.835	133	22	138	114	240	8.95E-07	50.1	Protein FAR1-RELATED SEQUENCE 5 OS=Arabidopsis thaliana OX=3702 GN=FRS5 PE=1 SV=1
Ss07g26180.1	Q9M330|PSMF1_ARATH	42.038	314	1	297	1	301	4.83E-62	201	Probable proteasome inhibitor OS=Arabidopsis thaliana OX=3702 GN=At3g53970 PE=1 SV=1
Ss01g33060.1	A2Y9C5|LAC19_ORYSI	50.725	138	9	144	404	541	1.30E-44	157	Putative laccase-19 OS=Oryza sativa subsp. indica OX=39946 GN=LAC19 PE=3 SV=1
Ss05g11240.1	Q93YU2|RUS6_ARATH	65.524	496	24	504	11	494	0	618	Protein root UVB sensitive 6 OS=Arabidopsis thaliana OX=3702 GN=RUS6 PE=2 SV=1
Ss05g11250.1	Q8RU31|MAD21_ORYSJ	73.282	262	85	324	1	260	9.30E-120	348	MADS-box transcription factor 21 OS=Oryza sativa subsp. japonica OX=39947 GN=MADS21 PE=2 SV=1
Ss05g11220.1	O05235|YUGF_BACSU	26.471	238	86	323	28	243	5.15E-15	77.8	Uncharacterized hydrolase YugF OS=Bacillus subtilis (strain 168) OX=224308 GN=yugF PE=3 SV=1
Ss05g11230.1	Q60DW3|ALFL5_ORYSJ	86.047	258	1	256	1	258	1.20E-148	418	PHD finger protein ALFIN-LIKE 5 OS=Oryza sativa subsp. japonica OX=39947 GN=Os05g0419100 PE=2 SV=1
Ss05g11270.1	Q9SF78|GDL29_ARATH	64.671	334	50	382	49	382	6.28E-160	457	GDSL esterase/lipase At1g71691 OS=Arabidopsis thaliana OX=3702 GN=At1g71691 PE=2 SV=1
Ss04g11310.1	Q4VZL0|TI214_CUCSA	73.585	53	1	52	1	53	8.46E-20	85.9	Protein TIC 214 OS=Cucumis sativus OX=3659 GN=TIC214 PE=3 SV=2
Ss05g11310.1	Q8L7S6|HEXO3_ARATH	69.505	505	23	522	31	535	0	754	Beta-hexosaminidase 3 OS=Arabidopsis thaliana OX=3702 GN=HEXO3 PE=1 SV=1
Ss04g11340.1	F7J0N2|RGA5R_ORYSJ	51.19	84	8	90	993	1076	1.04E-17	80.9	Disease resistance protein RGA5 OS=Oryza sativa subsp. japonica OX=39947 GN=RGA5 PE=1 SV=1
Ss02g01310.1	Q9FMX2|TCP7_ARATH	57.447	235	25	243	31	250	1.83E-75	231	Transcription factor TCP7 OS=Arabidopsis thaliana OX=3702 GN=TCP7 PE=1 SV=1
Ss02g01260.1	Q9LP24|Y1571_ARATH	52.066	121	165	285	999	1119	1.84E-35	139	Probable leucine-rich repeat receptor-like protein kinase At1g35710 OS=Arabidopsis thaliana OX=3702 GN=At1g35710 PE=1 SV=1
Ss02g01280.1	Q8VZG8|MIK2_ARATH	43.457	1001	133	1091	50	1037	0	774	MDIS1-interacting receptor like kinase 2 OS=Arabidopsis thaliana OX=3702 GN=MIK2 PE=1 SV=3
Ss02g01330.1	P55217|CGS1_ARATH	71.429	133	95	226	167	299	1.33E-56	191	Cystathionine gamma-synthase 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CGS1 PE=1 SV=3
Ss02g01340.1	Q9SUE3|CRF4_ARATH	44.242	165	79	221	51	214	9.59E-31	120	Ethylene-responsive transcription factor CRF4 OS=Arabidopsis thaliana OX=3702 GN=CRF4 PE=1 SV=2
Ss07g21060.1	O24413|RLA3_MAIZE	65.672	67	1	67	1	67	1.82E-22	88.2	60S acidic ribosomal protein P3 OS=Zea mays OX=4577 GN=RPP3A PE=1 SV=3
Ss07g20980.1	Q8GWQ6|Y6344_ARATH	89.655	232	1	232	1	232	1.04E-159	444	UPF0235 protein At5g63440 OS=Arabidopsis thaliana OX=3702 GN=At5g63440 PE=1 SV=1
Ss07g21000.1	P0C042|Y4597_ARATH	44.444	144	98	236	25	168	8.11E-36	133	Uncharacterized protein At4g15970 OS=Arabidopsis thaliana OX=3702 GN=At4g15970 PE=2 SV=1
Ss07g20990.1	Q8GYF7|NUP54_ARATH	57.538	398	1	397	1	376	1.36E-150	434	Nuclear pore complex protein NUP54 OS=Arabidopsis thaliana OX=3702 GN=NUP54 PE=1 SV=1
Ss07g21010.1	O48958|C71E1_SORBI	56.632	475	38	504	51	524	0	564	4-hydroxyphenylacetaldehyde oxime monooxygenase OS=Sorghum bicolor OX=4558 GN=CYP71E1 PE=1 SV=1
Ss07g21040.1	Q8RXJ0|NUF2_ARATH	37.442	430	1	426	1	427	3.91E-83	265	Kinetochore protein NUF2 homolog OS=Arabidopsis thaliana OX=3702 GN=NUF2 PE=1 SV=1
Ss07g21030.1	Q61335|BAP31_MOUSE	38.532	109	111	218	150	238	9.07E-06	48.5	B-cell receptor-associated protein 31 OS=Mus musculus OX=10090 GN=Bcap31 PE=1 SV=4
Ss03g00190.1	Q8GYA6|PS13B_ARATH	77.604	384	2	385	3	386	0	639	26S proteasome non-ATPase regulatory subunit 13 homolog B OS=Arabidopsis thaliana OX=3702 GN=RPN9B PE=1 SV=1
Ss08g01080.1	Q93YU8|NRG2_ARATH	23.111	450	413	809	359	792	6.12E-24	111	Nitrate regulatory gene2 protein OS=Arabidopsis thaliana OX=3702 GN=NRG2 PE=1 SV=1
Ss03g00100.1	Q336M2|CDKE1_ORYSJ	89.256	484	1	472	1	475	0	859	Cyclin-dependent kinase E-1 OS=Oryza sativa subsp. japonica OX=39947 GN=CDKE-1 PE=2 SV=2
Ss08g00990.1	O49595|HMGB1_ARATH	62.5	104	19	122	45	146	1.36E-37	129	High mobility group B protein 1 OS=Arabidopsis thaliana OX=3702 GN=HMGB1 PE=1 SV=1
Ss08g01000.1	Q9SCZ4|FERON_ARATH	64.732	896	13	887	20	895	0	1125	Receptor-like protein kinase FERONIA OS=Arabidopsis thaliana OX=3702 GN=FER PE=1 SV=1
Ss08g01010.1	P12329|CB21_MAIZE	89.85	266	1	266	1	262	1.61E-174	484	Chlorophyll a-b binding protein 1, chloroplastic OS=Zea mays OX=4577 GN=CAB1 PE=1 SV=1
Ss08g01020.1	O95696|BRD1_HUMAN	52.222	90	106	195	565	652	2.88E-20	99.8	Bromodomain-containing protein 1 OS=Homo sapiens OX=9606 GN=BRD1 PE=1 SV=1
Ss08g01030.1	Q8RJP2|RHIE_DICD3	26.316	551	94	626	99	560	9.19E-27	118	Rhamnogalacturonate lyase OS=Dickeya dadantii (strain 3937) OX=198628 GN=rhiE PE=1 SV=1
Ss08g01050.1	Q949U4|OFT16_ARATH	58.765	599	5	588	5	572	0	698	O-fucosyltransferase 16 OS=Arabidopsis thaliana OX=3702 GN=OFUT16 PE=2 SV=1
Ss09g06340.1	Q6ES51|TIF6B_ORYSJ	55.765	425	1	395	1	416	6.37E-122	362	Protein TIFY 6b OS=Oryza sativa subsp. japonica OX=39947 GN=TIFY6B PE=1 SV=1
Ss09g06320.1	Q6ES52|TDX_ORYSJ	77.673	318	1	318	1	317	8.43E-180	502	TPR repeat-containing thioredoxin TDX OS=Oryza sativa subsp. japonica OX=39947 GN=Os09g0401200 PE=2 SV=1
Ss09g06330.1	P51428|RT10_PEA	83.333	54	1	54	1	53	1.60E-23	87.4	Ribosomal protein S10, mitochondrial OS=Pisum sativum OX=3888 GN=RPS10 PE=2 SV=1
Ss09g06380.1	Q9SSJ8|FAB1C_ARATH	48.116	1619	87	1640	134	1643	0	1345	Putative 1-phosphatidylinositol-3-phosphate 5-kinase FAB1C OS=Arabidopsis thaliana OX=3702 GN=FAB1C PE=2 SV=1
Ss09g06360.1	Q9ZU93|PUX2_ARATH	42.766	470	2	421	4	458	5.47E-110	334	Plant UBX domain-containing protein 2 OS=Arabidopsis thaliana OX=3702 GN=PUX2 PE=1 SV=2
Ss09g06370.1	Q9FYS5|HMGYA_MAIZE	73.057	193	1	187	1	193	6.82E-86	254	HMG-Y-related protein A OS=Zea mays OX=4577 GN=HMGIY2 PE=1 SV=1
Ss09g06400.1	Q6NLC8|Y1648_ARATH	42.541	181	1	170	1	177	2.01E-39	137	Uncharacterized protein At1g66480 OS=Arabidopsis thaliana OX=3702 GN=At1g66480 PE=2 SV=1
Ss09g06410.1	Q9FF18|C7351_ARATH	57.418	519	4	519	2	516	0	587	Cytokinin hydroxylase OS=Arabidopsis thaliana OX=3702 GN=CYP735A1 PE=1 SV=1
Ss07g08260.1	Q9C8P0|ODP25_ARATH	68.817	465	9	457	5	465	0	572	Dihydrolipoyllysine-residue acetyltransferase component 5 of pyruvate dehydrogenase complex, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=EMB3003 PE=2 SV=1
Ss07g08250.1	O22938|PXC3_ARATH	37.545	831	159	958	65	887	3.55E-149	467	Leucine-rich repeat receptor-like tyrosine-protein kinase PXC3 OS=Arabidopsis thaliana OX=3702 GN=PXC3 PE=2 SV=1
Ss07g08230.1	C5E268|CMC4_LACTC	41.379	58	7	59	3	60	7.09E-06	42.4	Cx9C motif-containing protein 4, mitochondrial OS=Lachancea thermotolerans (strain ATCC 56472 / CBS 6340 / NRRL Y-8284) OX=559295 GN=CMC4 PE=3 SV=1
Ss07g08190.1	Q652L2|HIRA_ORYSJ	78.205	78	11	88	858	933	8.53E-34	125	Protein HIRA OS=Oryza sativa subsp. japonica OX=39947 GN=Os09g0567700 PE=2 SV=1
Ss07g08170.1	Q7RTR2|NLRC3_HUMAN	30.224	268	269	534	806	1054	5.97E-12	72.8	NLR family CARD domain-containing protein 3 OS=Homo sapiens OX=9606 GN=NLRC3 PE=1 SV=2
Ss03g05410.1	Q7XDZ7|PHT13_ORYSJ	85.66	523	1	519	1	523	0	917	Probable inorganic phosphate transporter 1-3 OS=Oryza sativa subsp. japonica OX=39947 GN=PHT1-3 PE=2 SV=1
Ss03g05420.1	A7T167|GDAP2_NEMVE	35.13	538	21	555	4	487	5.49E-105	328	Protein GDAP2 homolog OS=Nematostella vectensis OX=45351 GN=gdap2 PE=3 SV=1
Ss03g05430.1	Q10RP4|SE14_ORYSJ	61.749	1349	13	1339	20	1293	0	1515	Lysine-specific demethylase SE14 OS=Oryza sativa subsp. japonica OX=39947 GN=SE14 PE=3 SV=2
Ss03g05440.1	Q9ZV06|NATAL_ARATH	54.68	203	12	209	29	228	8.82E-72	221	Probable acetyltransferase NATA1-like OS=Arabidopsis thaliana OX=3702 GN=At2g39020 PE=2 SV=1
Ss03g05460.1	P54774|CDC48_SOYBN	90.506	811	1	809	1	807	0	1518	Cell division cycle protein 48 homolog OS=Glycine max OX=3847 GN=CDC48 PE=2 SV=1
Ss03g05470.1	Q9CB01|RABF1_ARATH	79.602	201	1	199	1	201	4.29E-120	341	Ras-related protein RABF1 OS=Arabidopsis thaliana OX=3702 GN=RABF1 PE=1 SV=1
Ss03g05480.1	Q9SJL2|HIP5_ARATH	38.192	343	24	337	52	386	5.90E-41	150	Heavy metal-associated isoprenylated plant protein 5 OS=Arabidopsis thaliana OX=3702 GN=HIPP05 PE=1 SV=2
Ss03g05490.1	Q9FNY2|DPB_ARATH	74.126	286	32	317	26	293	5.80E-142	411	Transcription factor-like protein DPB OS=Arabidopsis thaliana OX=3702 GN=DPB PE=1 SV=1
Ss03g05500.1	Q93V93|PER44_ARATH	48.311	296	18	310	18	310	5.70E-91	277	Peroxidase 44 OS=Arabidopsis thaliana OX=3702 GN=PER44 PE=2 SV=1
Ss05g00600.1	P49043|VPE_CITSI	66.889	450	30	470	45	494	0	634	Vacuolar-processing enzyme OS=Citrus sinensis OX=2711 PE=2 SV=1
Ss05g00670.1	B5BT18|BTAF1_ARATH	61.81	2066	3	2057	4	2045	0	2461	TATA-binding protein-associated factor BTAF1 OS=Arabidopsis thaliana OX=3702 GN=BTAF1 PE=1 SV=1
Ss05g00660.1	O82645|IQM1_ARATH	64.493	414	117	530	97	487	0	532	IQ domain-containing protein IQM1 OS=Arabidopsis thaliana OX=3702 GN=IQM1 PE=1 SV=1
Ss05g00650.1	Q9CAI5|CKL2_ARATH	71.702	470	1	466	1	465	0	669	Casein kinase 1-like protein 2 OS=Arabidopsis thaliana OX=3702 GN=CKL2 PE=1 SV=1
Ss05g00640.1	Q657D6|ELF32_ORYSJ	57.392	744	7	741	12	741	0	746	ELF3-like protein 2 OS=Oryza sativa subsp. japonica OX=39947 GN=ELF3-2 PE=2 SV=2
Ss04g21230.1	Q05001|NCPR_CATRO	73.054	668	27	691	49	714	0	977	NADPH--cytochrome P450 reductase OS=Catharanthus roseus OX=4058 GN=CPR PE=2 SV=1
Ss04g21240.1	Q9FKM7|IAA33_ARATH	67.593	108	32	139	61	165	5.77E-39	132	Auxin-responsive protein IAA33 OS=Arabidopsis thaliana OX=3702 GN=IAA33 PE=1 SV=1
Ss04g21180.1	Q9ZQ18|REIL2_ARATH	47.682	151	80	229	173	321	1.76E-41	149	Cytoplasmic 60S subunit biogenesis factor REI1 homolog 2 OS=Arabidopsis thaliana OX=3702 GN=REIL2 PE=1 SV=1
Ss04g21190.1	Q5XF57|Y5576_ARATH	53.526	312	28	337	239	550	2.95E-123	370	Probable receptor-like serine/threonine-protein kinase At5g57670 OS=Arabidopsis thaliana OX=3702 GN=At5g57670 PE=2 SV=1
Ss04g21160.1	P17801|KPRO_MAIZE	46.012	815	6	789	8	817	0	696	Putative receptor protein kinase ZmPK1 OS=Zea mays OX=4577 GN=PK1 PE=2 SV=2
Ss04g21170.1	Q8H936|CSN5_ORYSJ	95	360	1	360	1	360	0	691	COP9 signalosome complex subunit 5 OS=Oryza sativa subsp. japonica OX=39947 GN=CSN5 PE=1 SV=1
Ss04g21220.1	Q6PQQ3|AIL5_ARATH	59.722	360	8	324	90	446	8.39E-137	406	AP2-like ethylene-responsive transcription factor AIL5 OS=Arabidopsis thaliana OX=3702 GN=AIL5 PE=2 SV=2
Ss04g21200.1	P62733|RR7_WHEAT	83.333	36	20	55	5	40	8.36E-13	61.6	30S ribosomal protein S7, chloroplastic OS=Triticum aestivum OX=4565 GN=rps7-A PE=3 SV=1
Ss04g21210.1	Q9LSC2|Y3589_ARATH	56.41	312	8	304	7	317	7.04E-123	360	PTI1-like tyrosine-protein kinase At3g15890 OS=Arabidopsis thaliana OX=3702 GN=At3g15890 PE=2 SV=1
Ss06g12560.1	Q6YV23|CARA_ORYSJ	89.398	415	35	447	32	446	0	775	Carbamoyl-phosphate synthase small chain, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=CARA PE=2 SV=2
Ss06g12480.1	P55607|Y4OV_SINFN	57.576	297	451	747	1	283	3.58E-108	333	Uncharacterized protein y4oV OS=Sinorhizobium fredii (strain NBRC 101917 / NGR234) OX=394 GN=NGR_a02140 PE=4 SV=1
Ss06g12500.1	O81355|PYRC5_PYRCO	65.359	306	6	311	3	308	2.68E-149	424	Phenylcoumaran benzylic ether reductase Pyrc5 OS=Pyrus communis OX=23211 GN=PYRC5 PE=1 SV=1
Ss06g12520.1	O48700|PUB6_ARATH	32.022	737	66	770	18	714	2.66E-99	328	U-box domain-containing protein 6 OS=Arabidopsis thaliana OX=3702 GN=PUB6 PE=2 SV=2
Ss06g12540.1	Q9C664|TTM2_ARATH	70.896	670	1	648	1	667	0	942	Inorganic pyrophosphatase TTM2 OS=Arabidopsis thaliana OX=3702 GN=TTM2 PE=1 SV=1
Ss03g29680.1	Q56YP2|PI5K1_ARATH	66.476	701	22	687	71	752	0	939	Phosphatidylinositol 4-phosphate 5-kinase 1 OS=Arabidopsis thaliana OX=3702 GN=PIP5K1 PE=1 SV=1
Ss03g29670.1	Q8L751|ORP1C_ARATH	70.545	825	1	801	1	814	0	1130	Oxysterol-binding protein-related protein 1C OS=Arabidopsis thaliana OX=3702 GN=ORP1C PE=2 SV=1
Ss03g29640.1	Q7XJS0|ASHR1_ARATH	56.144	472	7	476	4	475	0	551	Histone-lysine N-methyltransferase ASHR1 OS=Arabidopsis thaliana OX=3702 GN=ASHR1 PE=1 SV=2
Ss03g29630.1	Q9LU85|PAP4_ARATH	61.165	206	50	254	40	242	1.14E-85	258	Probable plastid-lipid-associated protein 4, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PAP4 PE=1 SV=1
Ss03g29660.1	O60290|ZN862_HUMAN	34.247	73	89	161	1015	1087	3.56E-06	49.7	Zinc finger protein 862 OS=Homo sapiens OX=9606 GN=ZNF862 PE=2 SV=2
