Gene	KeggOrtholog
Ss02g10920.1	K03798 ftsH, hflB; cell division protease FtsH [EC:3.4.24.-]
Ss06g02530.1	K01583 E4.1.1.19; arginine decarboxylase [EC:4.1.1.19]
Ss06g02480.1	K12734 PPIL3; peptidyl-prolyl cis-trans isomerase-like 3 [EC:5.2.1.8]
Ss06g02500.1	K11275 H1_5; histone H1/5
Ss06g02510.1	K11253 H3; histone H3
Ss06g02450.1	K06890 K06890; uncharacterized protein
Ss06g02470.1	K14270 ACS10_12; aminotransferase
Ss09g03790.1	K13336 PEX3; peroxin-3
Ss10g12940.1	K15285 SLC35E3; solute carrier family 35, member E3
Ss10g12930.1	K17805 PAM16, TIM16; mitochondrial import inner membrane translocase subunit TIM16
Ss10g12910.1	K22522 LOG; cytokinin riboside 5'-monophosphate phosphoribohydrolase [EC:3.2.2.-]
Ss09g11830.1	K02912 RP-L32e, RPL32; large subunit ribosomal protein L32e
Ss09g11800.1	K02912 RP-L32e, RPL32; large subunit ribosomal protein L32e
Ss09g11810.1	K07904 RAB11A; Ras-related protein Rab-11A
Ss09g11780.1	K03165 TOP3; DNA topoisomerase III [EC:5.99.1.2]
Ss01g11000.1	K00423 E1.10.3.3; L-ascorbate oxidase [EC:1.10.3.3]
Ss01g10990.1	K13648 GAUT; alpha-1,4-galacturonosyltransferase [EC:2.4.1.43]
Ss01g10950.1	K15633 gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]
Ss01g04940.1	K17285 SELENBP1; selenium-binding protein 1
Ss01g04950.1	K12865 PQBP1, NPW38; polyglutamine-binding protein 1
Ss01g04890.1	K12879 THOC2; THO complex subunit 2
Ss01g04980.1	K12400 AP4E1; AP-4 complex subunit epsilon-1
Ss09g06120.1	K08235 E2.4.1.207; xyloglucan:xyloglucosyl transferase [EC:2.4.1.207]
Ss09g06110.1	K22756 NSMCE2, NSE2; E3 SUMO-protein ligase NSE2 [EC:2.3.2.-]
Ss09g06040.1	K17098 ANNAT; annexin D
Ss09g06070.1	K07466 RFA1, RPA1, rpa; replication factor A1
Ss03g05710.1	K18757 LARP1; la-related protein 1
Ss03g05760.1	K21919 KCTD9; BTB/POZ domain-containing protein KCTD9
Ss03g05800.1	K00831 serC, PSAT1; phosphoserine aminotransferase [EC:2.6.1.52]
Ss03g05790.1	K12591 RRP6, EXOSC10; exosome complex exonuclease RRP6 [EC:3.1.13.-]
Ss03g27780.1	K07889 RAB5C; Ras-related protein Rab-5C
Ss07g33300.1	K01805 xylA; xylose isomerase [EC:5.3.1.5]
Ss07g33290.1	K02350 REV3L, POLZ; DNA polymerase zeta [EC:2.7.7.7]
Ss06g11220.1	K13115 CCDC130; coiled-coil domain-containing protein 130
Ss06g11160.1	K09286 EREBP; EREBP-like factor
Ss04g03380.1	K00434 E1.11.1.11; L-ascorbate peroxidase [EC:1.11.1.11]
Ss04g03320.1	K01522 FHIT; bis(5'-adenosyl)-triphosphatase [EC:3.6.1.29]
Ss06g09080.1	K01872 AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]
Ss06g09110.1	K00161 PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]
Ss10g04540.1	K02964 RP-S18e, RPS18; small subunit ribosomal protein S18e
Ss10g04480.1	K13946 AUX1, LAX; auxin influx carrier (AUX1 LAX family)
Ss10g04560.1	K14311 NUP188; nuclear pore complex protein Nup188
Ss10g15290.1	K09755 CYP84A, F5H; ferulate-5-hydroxylase [EC:1.14.-.-]
Ss03g29170.1	K15718 LOX1_5; linoleate 9S-lipoxygenase [EC:1.13.11.58]
Ss03g29180.1	K15718 LOX1_5; linoleate 9S-lipoxygenase [EC:1.13.11.58]
Ss03g29160.1	K15718 LOX1_5; linoleate 9S-lipoxygenase [EC:1.13.11.58]
Ss03g29130.1	K08869 ADCK, ABC1; aarF domain-containing kinase
Ss03g29110.1	K12275 SEC62; translocation protein SEC62
Ss03g29090.1	K08064 NFYA; nuclear transcription factor Y, alpha
Ss03g29100.1	K22522 LOG; cytokinin riboside 5'-monophosphate phosphoribohydrolase [EC:3.2.2.-]
Ss03g08650.1	K07955 ARL8; ADP-ribosylation factor-like protein 8
Ss03g08640.1	K14998 SURF1, SHY1; surfeit locus 1 family protein
Ss07g05010.1	K14792 RRP5, PDCD11; rRNA biogenesis protein RRP5
Ss07g05000.1	K17408 DAP3, MRPS29; small subunit ribosomal protein S29
Ss07g05030.1	K09286 EREBP; EREBP-like factor
Ss07g05020.1	K12830 SF3B3, SAP130, RSE1; splicing factor 3B subunit 3
Ss03g08590.1	K07297 ADIPOR; adiponectin receptor
Ss03g08630.1	K21843 TTC7; tetratricopeptide repeat protein 7
Ss03g08620.1	K02984 RP-S3Ae, RPS3A; small subunit ribosomal protein S3Ae
Ss03g26800.1	K01081 E3.1.3.5; 5'-nucleotidase [EC:3.1.3.5]
Ss06g19010.1	K01933 purM; phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]
Ss06g19000.1	K00278 nadB; L-aspartate oxidase [EC:1.4.3.16]
Ss07g22000.1	K14824 ERB1, BOP1; ribosome biogenesis protein ERB1
Ss07g22030.1	K02693 psaE; photosystem I subunit IV
Ss07g22020.1	K21398 SLC11A2, DMT1, NRAMP2; natural resistance-associated macrophage protein 2
Ss07g22050.1	K09716 dtdA, GEK1; D-aminoacyl-tRNA deacylase [EC:3.1.1.96]
Ss07g22060.1	K12614 DDX6, RCK, DHH1; ATP-dependent RNA helicase DDX6/DHH1 [EC:3.6.4.13]
Ss05g01730.1	K01247 alkA; DNA-3-methyladenine glycosylase II [EC:3.2.2.21]
Ss05g01740.1	K08145 SLC2A8, GLUT8; MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 8
Ss05g01670.1	K00975 glgC; glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]
Ss08g06010.1	K01214 ISA, treX; isoamylase [EC:3.2.1.68]
Ss03g18190.1	K00914 PIK3C3, VPS34; phosphatidylinositol 3-kinase [EC:2.7.1.137]
Ss03g18200.1	K02902 RP-L28, MRPL28, rpmB; large subunit ribosomal protein L28
Ss08g06090.1	K10664 ATL6S; E3 ubiquitin-protein ligase ATL6/9/15/31/42/55 [EC:2.3.2.27]
Ss01g41620.1	K09287 RAV; RAV-like factor
Ss07g19460.1	K12946 SPCS1; signal peptidase complex subunit 1 [EC:3.4.-.-]
Ss03g40330.1	K09595 HM13; minor histocompatibility antigen H13 [EC:3.4.23.-]
Ss05g04410.1	K11279 NAP1L1, NRP; nucleosome assembly protein 1-like 1
Ss03g40310.1	K02881 RP-L18, MRPL18, rplR; large subunit ribosomal protein L18
Ss03g40290.1	K15109 SLC25A20_29, CACT, CACL, CRC1; solute carrier family 25 (mitochondrial carnitine/acylcarnitine transporter), member 20/29
Ss03g40300.1	K11662 ACTR6, ARP6; actin-related protein 6
Ss05g04400.1	K20726 TMEM222; transmembrane protein 222
Ss07g05610.1	K14549 UTP15; U3 small nucleolar RNA-associated protein 15
Ss05g04450.1	K01489 cdd, CDA; cytidine deaminase [EC:3.5.4.5]
Ss05g04440.1	K12309 GLB1, ELNR1; beta-galactosidase [EC:3.2.1.23]
Ss03g14930.1	K03952 NDUFA8; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 8
Ss03g14890.1	K14293 KPNB1, IPO1; importin subunit beta-1
Ss01g40730.1	K11252 H2B; histone H2B
Ss01g40720.1	K01876 aspS; aspartyl-tRNA synthetase [EC:6.1.1.12]
Ss01g43310.1	K01358 clpP, CLPP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]
Ss09g17010.1	K09872 PIP; aquaporin PIP
Ss01g37570.1	K03504 POLD3; DNA polymerase delta subunit 3
Ss02g03520.1	K10268 FBXL2_20; F-box and leucine-rich repeat protein 2/20
Ss02g03510.1	K14803 PTC2_3; protein phosphatase PTC2/3 [EC:3.1.3.16]
Ss01g07280.1	K00600 glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]
Ss01g07260.1	K06133 LYS5, acpT; 4'-phosphopantetheinyl transferase [EC:2.7.8.-]
Ss01g07300.1	K00921 PIKFYVE, FAB1; 1-phosphatidylinositol-3-phosphate 5-kinase [EC:2.7.1.150]
Ss05g09270.1	K00966 GMPP; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]
Ss05g09260.1	K07562 NMD3; nonsense-mediated mRNA decay protein 3
Ss05g09250.1	K01102 PDP; pyruvate dehydrogenase phosphatase [EC:3.1.3.43]
Ss05g09230.1	K03126 TAF12; transcription initiation factor TFIID subunit 12
Ss11g04540.1	K11251 H2A; histone H2A
Ss01g02930.1	K14411 MSI; RNA-binding protein Musashi
Ss01g02850.1	K08991 MUS81; crossover junction endonuclease MUS81 [EC:3.1.22.-]
Ss02g16890.1	K09264 K09264; MADS-box transcription factor, plant
Ss02g16900.1	K19032 PSRP3; 30S ribosomal protein 3
Ss02g16920.1	K09422 MYBP; transcription factor MYB, plant
Ss02g16960.1	K08901 psbQ; photosystem II oxygen-evolving enhancer protein 3
Ss02g09600.1	K13413 MKK4_5; mitogen-activated protein kinase kinase 4/5 [EC:2.7.12.2]
Ss02g09620.1	K17278 PGRMC1_2; membrane-associated progesterone receptor component
Ss02g09680.1	K03671 trxA; thioredoxin 1
Ss01g20130.1	K03189 ureG; urease accessory protein
Ss01g20090.1	K18757 LARP1; la-related protein 1
Ss01g20170.1	K18693 DPP1, DPPL, PLPP4_5; diacylglycerol diphosphate phosphatase / phosphatidate phosphatase [EC:3.1.3.81 3.1.3.4]
Ss07g00420.1	K03549 kup; KUP system potassium uptake protein
Ss11g11640.1	K05391 CNGC; cyclic nucleotide gated channel, plant
Ss11g11650.1	K03040 rpoA; DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]
Ss02g34780.1	K02988 RP-S5, MRPS5, rpsE; small subunit ribosomal protein S5
Ss04g19340.1	K03164 TOP2; DNA topoisomerase II [EC:5.99.1.3]
Ss11g01440.1	K13508 GPAT; glycerol-3-phosphate acyltransferase [EC:2.3.1.15 2.3.1.198]
Ss11g04650.1	K01885 EARS, gltX; glutamyl-tRNA synthetase [EC:6.1.1.17]
Ss11g04620.1	K13210 FUBP; far upstream element-binding protein
Ss11g04670.1	K02926 RP-L4, MRPL4, rplD; large subunit ribosomal protein L4
Ss11g04710.1	K01885 EARS, gltX; glutamyl-tRNA synthetase [EC:6.1.1.17]
Ss01g18050.1	K06100 SYMPK; symplekin
Ss03g12370.1	K06287 maf; septum formation protein
Ss03g12310.1	K12399 AP3S; AP-3 complex subunit sigma
Ss01g17990.1	K09422 MYBP; transcription factor MYB, plant
Ss04g05790.1	K11340 ACTL6A, INO80K; actin-like protein 6A
Ss04g05800.1	K12824 TCERG1, CA150; transcription elongation regulator 1
Ss01g30160.1	K08869 ADCK, ABC1; aarF domain-containing kinase
Ss01g30110.1	K05909 E1.10.3.2; laccase [EC:1.10.3.2]
Ss01g30120.1	K09584 PDIA6, TXNDC7; protein disulfide-isomerase A6 [EC:5.3.4.1]
Ss01g30130.1	K11866 STAMBP, AMSH; STAM-binding protein [EC:3.4.19.12]
Ss01g30150.1	K03127 TAF13; transcription initiation factor TFIID subunit 13
Ss10g13740.1	K03106 SRP54, ffh; signal recognition particle subunit SRP54 [EC:3.6.5.4]
Ss10g13710.1	K10727 CDT1; chromatin licensing and DNA replication factor 1
Ss02g24590.1	K15382 SLC50A, SWEET; solute carrier family 50 (sugar transporter)
Ss02g24620.1	K12818 DHX8, PRP22; ATP-dependent RNA helicase DHX8/PRP22 [EC:3.6.4.13]
Ss10g11270.1	K14556 DIP2, UTP12, WDR3; U3 small nucleolar RNA-associated protein 12
Ss06g07520.1	K10738 MCM9; DNA helicase MCM9 [EC:3.6.4.12]
Ss09g13650.1	K07904 RAB11A; Ras-related protein Rab-11A
Ss09g13680.1	K12188 SNF8, EAP30; ESCRT-II complex subunit VPS22
Ss01g28050.1	K03878 ND1; NADH-ubiquinone oxidoreductase chain 1 [EC:7.1.1.2]
Ss02g06230.1	K21374 UGT85A; 7-deoxyloganetin glucosyltransferase [EC:2.4.1.324]
Ss02g06270.1	K11450 KDM1A, AOF2, LSD1; lysine-specific histone demethylase 1A [EC:1.-.-.-]
Ss02g32600.1	K00278 nadB; L-aspartate oxidase [EC:1.4.3.16]
Ss02g32660.1	K02725 PSMA1; 20S proteasome subunit alpha 6 [EC:3.4.25.1]
Ss02g32650.1	K20359 RABAC1, PRAF1; PRA1 family protein 1
Ss02g32630.1	K02201 E2.7.7.3B; pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]
Ss04g16230.1	K09286 EREBP; EREBP-like factor
Ss04g16250.1	K09286 EREBP; EREBP-like factor
Ss04g16260.1	K01704 leuD, IPMI-S; 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]
Ss05g12980.1	K10406 KIFC2_3; kinesin family member C2/C3
Ss05g12960.1	K06611 E2.4.1.67; stachyose synthetase [EC:2.4.1.67]
Ss05g12970.1	K10901 BLM, RECQL3, SGS1; bloom syndrome protein [EC:3.6.4.12]
Ss11g09290.1	K09285 OVM, ANT; AP2-like factor, ANT lineage
Ss08g03550.1	K18160 NDUFAF2; NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2
Ss08g03560.1	K10523 SPOP; speckle-type POZ protein
Ss08g03570.1	K10523 SPOP; speckle-type POZ protein
Ss08g03580.1	K10523 SPOP; speckle-type POZ protein
Ss08g03590.1	K10523 SPOP; speckle-type POZ protein
Ss08g03610.1	K01537 E3.6.3.8; Ca2+-transporting ATPase [EC:3.6.3.8]
Ss10g08530.1	K02992 RP-S7, MRPS7, rpsG; small subunit ribosomal protein S7
Ss10g08580.1	K02730 PSMA6; 20S proteasome subunit alpha 1 [EC:3.4.25.1]
Ss10g08600.1	K02689 psaA; photosystem I P700 chlorophyll a apoprotein A1
Ss10g08590.1	K13464 JAZ; jasmonate ZIM domain-containing protein
Ss09g03860.1	K19937 RAB3GAP2; Rab3 GTPase-activating protein non-catalytic subunit
Ss09g03870.1	K03627 MBF1; putative transcription factor
Ss09g03910.1	K14611 SLC23A1_2, SVCT1_2; solute carrier family 23 (nucleobase transporter), member 1/2
Ss07g28230.1	K14847 RPF2; ribosome production factor 2
Ss07g28250.1	K10685 UBLE1B, SAE2, UBA2; ubiquitin-like 1-activating enzyme E1 B [EC:6.2.1.45]
Ss08g09270.1	K14692 SLC30A5_7, ZNT5_7, MTP, MSC2; solute carrier family 30 (zinc transporter), member 5/7
Ss08g09260.1	K00130 betB, gbsA; betaine-aldehyde dehydrogenase [EC:1.2.1.8]
Ss06g16360.1	K01728 pel; pectate lyase [EC:4.2.2.2]
Ss06g16320.1	K06067 HDAC1_2; histone deacetylase 1/2 [EC:3.5.1.98]
Ss03g06160.1	K19985 EXOC6, SEC15; exocyst complex component 6
Ss03g06140.1	K06062 PCAF, KAT2, GCN5; histone acetyltransferase [EC:2.3.1.48]
Ss03g06120.1	K15397 KCS; 3-ketoacyl-CoA synthase [EC:2.3.1.199]
Ss03g06110.1	K10046 GME; GDP-D-mannose 3', 5'-epimerase [EC:5.1.3.18 5.1.3.-]
Ss04g22410.1	K00901 dgkA, DGK; diacylglycerol kinase (ATP) [EC:2.7.1.107]
Ss06g12960.1	K05575 ndhD; NAD(P)H-quinone oxidoreductase subunit 4 [EC:7.1.1.2]
Ss06g12950.1	K01601 rbcL; ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]
Ss03g35290.1	K02958 RP-S15e, RPS15; small subunit ribosomal protein S15e
Ss03g35310.1	K11275 H1_5; histone H1/5
Ss03g35250.1	K14484 IAA; auxin-responsive protein IAA
Ss03g35260.1	K16277 DRIP; E3 ubiquitin-protein ligase DRIP [EC:2.3.2.27]
Ss05g24400.1	K01530 E7.6.2.1; phospholipid-translocating ATPase [EC:7.6.2.1]
Ss05g24370.1	K16284 SIS3; E3 ubiquitin-protein ligase SIS3 [EC:2.3.2.27]
Ss05g24380.1	K07466 RFA1, RPA1, rpa; replication factor A1
Ss05g24350.1	K00914 PIK3C3, VPS34; phosphatidylinositol 3-kinase [EC:2.7.1.137]
Ss05g24360.1	K13343 PEX14; peroxin-14
Ss07g04840.1	K11594 DDX3X, bel; ATP-dependent RNA helicase DDX3X [EC:3.6.4.13]
Ss07g04850.1	K03008 RPB11, POLR2J; DNA-directed RNA polymerase II subunit RPB11
Ss07g04860.1	K04382 PPP2C; serine/threonine-protein phosphatase 2A catalytic subunit [EC:3.1.3.16]
Ss02g14020.1	K17893 AOX1, AOX2; ubiquinol oxidase [EC:1.10.3.11]
Ss04g09950.1	K09838 ZEP, ABA1; zeaxanthin epoxidase [EC:1.14.15.21]
Ss04g09960.1	K15112 SLC25A27, UCP4; solute carrier family 25 (mitochondrial uncoupling protein), member 27
Ss04g09970.1	K13681 FUT; xyloglucan fucosyltransferase [EC:2.4.1.-]
Ss04g09980.1	K18443 GBF1; golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1
Ss04g09990.1	K13681 FUT; xyloglucan fucosyltransferase [EC:2.4.1.-]
Ss04g10040.1	K09260 MEF2A; MADS-box transcription enhancer factor 2A
Ss02g13570.1	K17263 CAND1; cullin-associated NEDD8-dissociated protein 1
Ss02g13490.1	K01438 argE; acetylornithine deacetylase [EC:3.5.1.16]
Ss02g13480.1	K01438 argE; acetylornithine deacetylase [EC:3.5.1.16]
Ss02g13550.1	K07441 ALG14; beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.141]
Ss03g22260.1	K20619 CYP78A; cytochrome P450 family 78 subfamily A
Ss03g22270.1	K00472 P4HA; prolyl 4-hydroxylase [EC:1.14.11.2]
Ss03g22240.1	K03232 EEF1B; elongation factor 1-beta
Ss03g22290.1	K19045 BB; E3 ubiquitin-protein ligase BIG BROTHER and related proteins [EC:2.3.2.27]
Ss03g03770.1	K13412 CPK; calcium-dependent protein kinase [EC:2.7.11.1]
Ss03g03760.1	K02328 POLD2; DNA polymerase delta subunit 2
Ss03g17010.1	K01188 E3.2.1.21; beta-glucosidase [EC:3.2.1.21]
Ss03g16930.1	K20352 TMED10, ERV25; p24 family protein delta-1
Ss03g16920.1	K21852 DOCK6_7_8; dedicator of cytokinesis protein 6/7/8
Ss04g00320.1	K03122 TFIIA1, GTF2A1, TOA1; transcription initiation factor TFIIA large subunit
Ss04g00370.1	K21889 TMBIM6, BI1, TEGT; Bax inhibitor 1
Ss02g20890.1	K12164 UBA5, UBE1DC1; ubiquitin-like modifier-activating enzyme 5
Contig13g00010.1	K07374 TUBA; tubulin alpha
Ss07g10470.1	K17964 LRPPRC; leucine-rich PPR motif-containing protein, mitochondrial
Ss02g08610.1	K01868 TARS, thrS; threonyl-tRNA synthetase [EC:6.1.1.3]
Ss01g01510.1	K03843 ALG2; alpha-1,3/alpha-1,6-mannosyltransferase [EC:2.4.1.132 2.4.1.257]
Ss01g01480.1	K20848 1-FEH; fructan beta-(2,1)-fructosidase [EC:3.2.1.153]
Ss07g10410.1	K19347 SUN1_2; SUN domain-containing protein 1/2
Ss06g21100.1	K03884 ND6; NADH-ubiquinone oxidoreductase chain 6 [EC:7.1.1.2]
Ss07g31290.1	K07025 K07025; putative hydrolase of the HAD superfamily
Ss07g31260.1	K13457 RPM1, RPS3; disease resistance protein RPM1
Ss07g31270.1	K07904 RAB11A; Ras-related protein Rab-11A
Ss07g31230.1	K12456 APC13; anaphase-promoting complex subunit 13
Ss06g23600.1	K12581 CNOT7_8, CAF1, POP2; CCR4-NOT transcription complex subunit 7/8
Ss06g23580.1	K04498 EP300, CREBBP, KAT3; E1A/CREB-binding protein [EC:2.3.1.48]
Ss06g23520.1	K22378 RNF181; E3 ubiquitin-protein ligase RNF181 [EC:2.3.2.27]
Ss06g23540.1	K14321 NUPL2, CG1; nucleoporin-like protein 2
Ss01g12490.1	K03635 MOCS2B, moaE; molybdopterin synthase catalytic subunit [EC:2.8.1.12]
Ss01g12410.1	K13459 RPS2; disease resistance protein RPS2
Ss01g12420.1	K01051 E3.1.1.11; pectinesterase [EC:3.1.1.11]
Ss02g27510.1	K15264 NSUN5, WBSCR20, RCM1; 25S rRNA (cytosine2278-C5)-methyltransferase [EC:2.1.1.311]
Ss02g27490.1	K08776 NPEPPS; puromycin-sensitive aminopeptidase [EC:3.4.11.-]
Ss02g27450.1	K01723 AOS; hydroperoxide dehydratase [EC:4.2.1.92]
Ss02g27460.1	K01723 AOS; hydroperoxide dehydratase [EC:4.2.1.92]
Ss07g35680.1	K00434 E1.11.1.11; L-ascorbate peroxidase [EC:1.11.1.11]
Ss11g10220.1	K08916 LHCB5; light-harvesting complex II chlorophyll a/b binding protein 5
Ss11g10200.1	K13993 HSP20; HSP20 family protein
Ss11g10260.1	K03327 TC.MATE, SLC47A, norM, mdtK, dinF; multidrug resistance protein, MATE family
Ss11g10240.1	K09264 K09264; MADS-box transcription factor, plant
Ss08g13520.1	K10523 SPOP; speckle-type POZ protein
Ss08g13460.1	K02937 RP-L7e, RPL7; large subunit ribosomal protein L7e
Ss08g13490.1	K12449 AXS; UDP-apiose/xylose synthase
Ss08g13510.1	K10523 SPOP; speckle-type POZ protein
Ss08g13500.1	K16297 SCPL-II; serine carboxypeptidase-like clade II [EC:3.4.16.-]
Ss09g14650.1	K01711 gmd, GMDS; GDPmannose 4,6-dehydratase [EC:4.2.1.47]
Ss09g14640.1	K01115 PLD1_2; phospholipase D1/2 [EC:3.1.4.4]
Ss01g22010.1	K12184 VPS28; ESCRT-I complex subunit VPS28
Ss01g21990.1	K00975 glgC; glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]
Ss01g22000.1	K02909 RP-L31, rpmE; large subunit ribosomal protein L31
Ss01g21970.1	K13082 DFR; bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase [EC:1.1.1.219 1.1.1.234]
Ss04g20930.1	K15718 LOX1_5; linoleate 9S-lipoxygenase [EC:1.13.11.58]
Ss04g20910.1	K01792 E5.1.3.15; glucose-6-phosphate 1-epimerase [EC:5.1.3.15]
Ss04g20870.1	K19041 RNF38_44; E3 ubiquitin-protein ligase RNF38/44 [EC:2.3.2.27]
Ss04g20950.1	K15718 LOX1_5; linoleate 9S-lipoxygenase [EC:1.13.11.58]
Ss04g07230.1	K11805 WDR68, HAN11; WD repeat-containing protein 68
Ss04g07290.1	K01895 ACSS, acs; acetyl-CoA synthetase [EC:6.2.1.1]
Ss08g19130.1	K13457 RPM1, RPS3; disease resistance protein RPM1
Ss08g19160.1	K13457 RPM1, RPS3; disease resistance protein RPM1
Ss07g14500.1	K00737 MGAT3; beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.144]
Ss07g11090.1	K11717 sufS; cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]
Ss07g11100.1	K19355 MAN; mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]
Ss04g08190.1	K22772 FG2; flavonol-3-O-glucoside L-rhamnosyltransferase [EC:2.4.1.159]
Ss04g08180.1	K22647 MINDY3_4; ubiquitin carboxyl-terminal hydrolase MINDY-3/4 [EC:3.4.19.12]
Ss04g08140.1	K19040 ATL76S; E3 ubiquitin-protein ligase ATL10/75/76/77/78 [EC:2.3.2.27]
Ss04g08160.1	K11253 H3; histone H3
Ss09g08540.1	K00679 E2.3.1.158; phospholipid:diacylglycerol acyltransferase [EC:2.3.1.158]
Ss09g08500.1	K18787 ACL5; thermospermine synthase [EC:2.5.1.79]
Ss11g07000.1	K19730 ATG101; autophagy-related protein 101
Ss11g06980.1	K12850 PRPF38B; pre-mRNA-splicing factor 38B
Ss11g06910.1	K16054 DEP1; methylthioribulose 1-phosphate dehydratase / enolase-phosphatase E1 [EC:4.2.1.109 3.1.3.77]
Ss11g06920.1	K16054 DEP1; methylthioribulose 1-phosphate dehydratase / enolase-phosphatase E1 [EC:4.2.1.109 3.1.3.77]
Ss02g29210.1	K15131 MED11; mediator of RNA polymerase II transcription subunit 11
Ss09g02140.1	K02880 RP-L17e, RPL17; large subunit ribosomal protein L17e
Ss09g02150.1	K11368 ENY2, DC6, SUS1; enhancer of yellow 2 transcription factor
Ss10g11810.1	K10779 ATRX; transcriptional regulator ATRX [EC:3.6.4.12]
Ss09g00620.1	K09753 CCR; cinnamoyl-CoA reductase [EC:1.2.1.44]
Ss09g00610.1	K03134 TAF10; transcription initiation factor TFIID subunit 10
Ss09g00600.1	K14409 SMG7, EST1C; protein SMG7
Ss09g00580.1	K17262 TBCB, CKAP1, ALF1; tubulin-specific chaperone B
Ss09g00660.1	K20363 YIPF5_7, YIP1; protein YIPF5/7
Ss06g06140.1	K03564 BCP, PRXQ, DOT5; peroxiredoxin Q/BCP [EC:1.11.1.15]
Ss04g14450.1	K14488 SAUR; SAUR family protein
Ss04g14460.1	K00856 E2.7.1.20, ADK; adenosine kinase [EC:2.7.1.20]
Ss04g14400.1	K09422 MYBP; transcription factor MYB, plant
Ss01g00950.1	K17943 PUM; pumilio RNA-binding family
Ss07g30690.1	K09422 MYBP; transcription factor MYB, plant
Ss07g30700.1	K01166 E3.1.27.1; ribonuclease T2 [EC:3.1.27.1]
Ss07g30660.1	K02997 RP-S9e, RPS9; small subunit ribosomal protein S9e
Ss07g30720.1	K01166 E3.1.27.1; ribonuclease T2 [EC:3.1.27.1]
Ss11g16150.1	K05909 E1.10.3.2; laccase [EC:1.10.3.2]
Ss03g04290.1	K00765 hisG; ATP phosphoribosyltransferase [EC:2.4.2.17]
Ss11g00920.1	K02965 RP-S19, rpsS; small subunit ribosomal protein S19
Ss06g00970.1	K13800 CMPK1, UMPK; UMP-CMP kinase [EC:2.7.4.14]
Ss06g00910.1	K14571 RIX7, NVL; ribosome biogenesis ATPase
Ss10g07180.1	K02109 ATPF0B, atpF; F-type H+-transporting ATPase subunit b
Ss10g07160.1	K07052 K07052; uncharacterized protein
Ss10g07170.1	K14774 UTP25, DEF; U3 small nucleolar RNA-associated protein 25
Ss10g07140.1	K10357 MYO5; myosin V
Ss10g07120.1	K06685 MOB1, Mats; MOB kinase activator 1
Ss07g08770.1	K03686 dnaJ; molecular chaperone DnaJ
Ss07g08750.1	K02155 ATPeV0C, ATP6L; V-type H+-transporting ATPase 16kDa proteolipid subunit
Ss07g08760.1	K01897 ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]
Ss07g08820.1	K02925 RP-L3e, RPL3; large subunit ribosomal protein L3e
Ss07g08790.1	K21844 FAM126; protein FAM126
Ss06g10320.1	K11129 NHP2, NOLA2; H/ACA ribonucleoprotein complex subunit 2
Ss06g10310.1	K20224 IPO9, RANBP9; importin-9
Ss06g10300.1	K19765 HSBP1; heat shock factor-binding protein 1
Ss06g10360.1	K00430 E1.11.1.7; peroxidase [EC:1.11.1.7]
Ss02g19210.1	K14328 UPF3, RENT3; regulator of nonsense transcripts 3
Ss02g19150.1	K20890 GUX; xylan alpha-glucuronosyltransferase [EC:2.4.1.-]
Ss02g19140.1	K04421 MAP3K3, MEKK3; mitogen-activated protein kinase kinase kinase 3 [EC:2.7.11.25]
Ss02g19160.1	K15430 TRM11, TRMT11; tRNA (guanine10-N2)-methyltransferase [EC:2.1.1.214]
Ss02g19180.1	K14943 MBNL; muscleblind
Ss03g27540.1	K14574 SDO1, SBDS; ribosome maturation protein SDO1
Ss06g25120.1	K09828 DHCR24, DWF1; Delta24-sterol reductase [EC:1.3.1.72 1.3.1.-]
Ss06g25130.1	K22746 CIAPIN1, DRE2; anamorsin
Ss07g29930.1	K13201 TIA1, TIAL1; nucleolysin TIA-1/TIAR
Ss03g33670.1	K06133 LYS5, acpT; 4'-phosphopantetheinyl transferase [EC:2.7.8.-]
